id,time,delay,total_time,type_delay
3,36,109,145,material
6,34,62,96,service
20,40,200,240,material
31,52,198,250,system
35,42,24,66,rotation
52,45,24,69,rotation
77,33,23,56,service
78,33,30,63,material
103,46,14,60,rotation
104,46,22,68,system
120,38,29,67,rotation
141,24,24,48,rotation
157,30,53,83,material
161,33,19,52,rotation
165,33,25,58,material
174,35,99,134,service
181,31,11,42,rotation
187,36,260,296,system
189,40,58,98,material
191,30,15,45,rotation
210,38,13,51,rotation
227,35,81,116,service
230,28,19,47,rotation
239,35,6,41,rotation
257,34,15,49,rotation
265,34,20,54,material
275,41,41,82,rotation
