id,time
1,44
2,35
4,36
5,34
7,34
8,33
9,36
10,42
11,32
12,35
13,32
14,47
15,32
21,42
22,46
23,48
24,44
25,42
26,45
27,44
28,45
29,46
30,46
32,58
33,53
34,47
36,37
37,37
38,43
39,42
40,41
41,45
42,43
43,49
44,46
45,45
46,46
47,48
48,53
49,46
50,50
51,50
53,39
54,40
55,43
56,39
57,38
58,39
59,38
60,41
61,37
62,43
63,34
64,37
65,35
66,45
67,36
68,37
69,36
70,55
71,36
72,37
73,38
74,38
75,33
76,32
79,33
80,28
81,32
82,30
83,29
84,29
85,28
86,26
87,35
88,41
89,40
90,56
91,42
92,37
93,37
94,41
95,40
96,39
97,42
98,44
99,37
100,40
101,39
102,39
105,53
106,35
107,34
108,33
109,38
110,35
111,37
112,37
113,37
114,37
115,40
116,52
117,55
118,41
119,40
121,36
122,34
123,42
124,34
125,32
126,33
127,32
128,31
129,32
130,30
131,29
132,31
133,30
134,36
135,32
136,34
137,28
138,26
139,30
140,24
142,24
143,22
144,26
145,24
146,24
147,31
148,32
149,31
150,29
151,33
152,32
153,35
154,37
155,37
156,28
158,33
159,33
160,36
162,29
163,27
164,34
166,31
167,31
168,34
169,30
170,30
171,33
172,34
173,31
175,38
179,30
180,33
182,28
183,28
184,26
185,27
186,26
188,46
190,33
192,26
193,30
194,31
195,35
196,37
197,41
198,38
199,36
200,34
201,34
202,37
203,38
204,37
205,37
206,41
207,42
208,49
209,42
211,34
212,31
213,32
214,31
215,30
216,34
217,34
218,32
219,35
220,35
221,34
222,41
223,38
224,40
225,37
226,34
228,36
229,31
231,24
232,27
233,28
234,27
235,43
236,54
237,33
238,32
240,37
241,26
242,28
243,38
244,36
245,33
246,34
247,33
248,33
249,39
250,35
251,35
252,36
253,36
254,35
255,39
256,36
258,32
259,30
260,32
261,34
262,34
263,33
264,35
266,33
267,37
268,36
269,36
270,47
271,38
272,37
273,39
276,44
277,26
