id,x,y,z,time,delay,type_delay,total_time,time_binned,wo_delay,material,service,rotation,system
1,220,95,0,44,0,0,44,Long,True,False,False,False,False
2,220,252,0,35,0,0,35,Short,True,False,False,False,False
3,220,440,0,36,109,1,145,Short,False,True,False,False,False
4,220,690,0,36,0,0,36,Short,True,False,False,False,False
5,220,940,0,34,0,0,34,Short,True,False,False,False,False
6,220,1190,0,34,62,2,96,Short,False,False,True,False,False
7,220,1440,0,34,0,0,34,Short,True,False,False,False,False
8,220,1690,0,33,0,0,33,Short,True,False,False,False,False
9,220,1940,0,36,0,0,36,Short,True,False,False,False,False
10,220,2190,0,42,0,0,42,Normal,True,False,False,False,False
11,220,2440,0,32,0,0,32,Very short,True,False,False,False,False
12,220,2690,0,35,0,0,35,Short,True,False,False,False,False
13,220,2940,0,32,0,0,32,Very short,True,False,False,False,False
14,220,3190,0,47,0,0,47,Long,True,False,False,False,False
15,220,3440,0,32,0,0,32,Very short,True,False,False,False,False
20,220,4690,0,40,200,1,240,Normal,False,True,False,False,False
21,565,220,0,42,0,0,42,Normal,True,False,False,False,False
22,815,220,0,46,0,0,46,Long,True,False,False,False,False
23,1065,220,0,48,0,0,48,Very long,True,False,False,False,False
24,1315,220,0,44,0,0,44,Long,True,False,False,False,False
25,1565,220,0,42,0,0,42,Normal,True,False,False,False,False
26,1815,220,0,45,0,0,45,Long,True,False,False,False,False
27,2065,220,0,44,0,0,44,Long,True,False,False,False,False
28,2315,220,0,45,0,0,45,Long,True,False,False,False,False
29,2565,220,0,46,0,0,46,Long,True,False,False,False,False
30,2815,220,0,46,0,0,46,Long,True,False,False,False,False
31,3065,220,0,52,198,4,250,Very long,False,False,False,False,True
32,3315,220,0,58,0,0,58,Extremely long,True,False,False,False,False
33,3565,220,0,53,0,0,53,Extremely long,True,False,False,False,False
34,3815,220,0,47,0,0,47,Long,True,False,False,False,False
35,4002,220,0,42,24,3,66,Normal,False,False,False,True,False
36,95,220,250,37,0,0,37,Short,True,False,False,False,False
