id,type_delay,x,y,z,time,total_time
1,0,220,95,0,44,44
2,0,220,252,0,35,35
3,1,220,440,0,36,145
4,0,220,690,0,36,36
5,0,220,940,0,34,34
6,2,220,1190,0,34,96
7,0,220,1440,0,34,34
8,0,220,1690,0,33,33
9,0,220,1940,0,36,36
10,0,220,2190,0,42,42
11,0,220,2440,0,32,32
12,0,220,2690,0,35,35
13,0,220,2940,0,32,32
14,0,220,3190,0,47,47
15,0,220,3440,0,32,32
20,1,220,4690,0,40,240
21,0,565,220,0,42,42
22,0,815,220,0,46,46
23,0,1065,220,0,48,48
24,0,1315,220,0,44,44
25,0,1565,220,0,42,42
26,0,1815,220,0,45,45
27,0,2065,220,0,44,44
28,0,2315,220,0,45,45
29,0,2565,220,0,46,46
30,0,2815,220,0,46,46
31,4,3065,220,0,52,250
32,0,3315,220,0,58,58
33,0,3565,220,0,53,53
34,0,3815,220,0,47,47
35,3,4002,220,0,42,66
36,0,95,220,250,37,37
37,0,252,220,250,37,37
38,0,440,220,250,43,43
39,0,690,220,250,42,42
40,0,940,220,250,41,41
41,0,1190,220,250,45,45
42,0,1440,220,250,43,43
43,0,1690,220,250,49,49
44,0,1940,220,250,46,46
45,0,2190,220,250,45,45
46,0,2440,220,250,46,46
47,0,2690,220,250,48,48
48,0,2940,220,250,53,53
49,0,3190,220,250,46,46
50,0,3440,220,250,50,50
51,0,3690,220,250,50,50
52,3,3940,220,250,45,69
53,0,220,565,250,39,39
54,0,220,815,250,40,40
55,0,220,1065,250,43,43
56,0,220,1315,250,39,39
57,0,220,1565,250,38,38
58,0,220,1815,250,39,39
59,0,220,2065,250,38,38
60,0,220,2315,250,41,41
61,0,220,2565,250,37,37
62,0,220,2815,250,43,43
63,0,220,3065,250,34,34
64,0,220,3315,250,37,37
65,0,220,3565,250,35,35
66,0,220,3815,250,45,45
67,0,220,4065,250,36,36
68,0,220,4315,250,37,37
69,0,220,4565,250,36,36
70,0,220,95,500,55,55
71,0,220,252,500,36,36
72,0,220,440,500,37,37
73,0,220,690,500,38,38
74,0,220,940,500,38,38
75,0,220,1190,500,33,33
76,0,220,1440,500,32,32
77,2,220,1690,500,33,56
78,1,220,1940,500,33,63
79,0,220,2190,500,33,33
80,0,220,2440,500,28,28
81,0,220,2690,500,32,32
82,0,220,2940,500,30,30
83,0,220,3190,500,29,29
84,0,220,3440,500,29,29
85,0,220,3690,500,28,28
86,0,220,3940,500,26,26
87,0,220,4190,500,35,35
88,0,220,4440,500,41,41
89,0,565,220,500,40,40
90,0,815,220,500,56,56
91,0,1065,220,500,42,42
92,0,1315,220,500,37,37
93,0,1565,220,500,37,37
94,0,1815,220,500,41,41
95,0,2065,220,500,40,40
96,0,2315,220,500,39,39
97,0,2565,220,500,42,42
98,0,2815,220,500,44,44
99,0,3065,220,500,37,37
100,0,3315,220,500,40,40
101,0,3565,220,500,39,39
102,0,3815,220,500,39,39
103,3,4002,220,500,46,60
104,4,95,220,750,46,68
105,0,252,220,750,53,53
106,0,440,220,750,35,35
107,0,690,220,750,34,34
108,0,940,220,750,33,33
109,0,1190,220,750,38,38
110,0,1440,220,750,35,35
111,0,1690,220,750,37,37
112,0,1940,220,750,37,37
113,0,2190,220,750,37,37
114,0,2440,220,750,37,37
115,0,2690,220,750,40,40
116,0,2940,220,750,52,52
117,0,3190,220,750,55,55
118,0,3440,220,750,41,41
119,0,3690,220,750,40,40
120,3,3940,220,750,38,67
121,0,220,565,750,36,36
122,0,220,815,750,34,34
123,0,220,1065,750,42,42
124,0,220,1315,750,34,34
125,0,220,1565,750,32,32
126,0,220,1815,750,33,33
127,0,220,2065,750,32,32
128,0,220,2315,750,31,31
129,0,220,2565,750,32,32
130,0,220,2815,750,30,30
131,0,220,3065,750,29,29
132,0,220,3315,750,31,31
133,0,220,3565,750,30,30
134,0,220,3815,750,36,36
135,0,220,4065,750,32,32
136,0,220,4315,750,34,34
137,0,220,95,1000,28,28
138,0,220,252,1000,26,26
139,0,220,440,1000,30,30
140,0,220,690,1000,24,24
141,3,220,940,1000,24,48
142,0,220,3190,1000,24,24
143,0,220,3440,1000,22,22
144,0,220,3690,1000,26,26
145,0,220,3940,1000,24,24
146,0,220,4190,1000,24,24
147,0,565,220,1000,31,31
148,0,815,220,1000,32,32
149,0,1065,220,1000,31,31
150,0,1315,220,1000,29,29
151,0,1565,220,1000,33,33
152,0,1815,220,1000,32,32
153,0,2065,220,1000,35,35
154,0,2315,220,1000,37,37
155,0,2565,220,1000,37,37
156,0,2815,220,1000,28,28
157,1,3065,220,1000,30,83
158,0,3315,220,1000,33,33
159,0,3565,220,1000,33,33
160,0,3815,220,1000,36,36
161,3,4002,220,1000,33,52
162,0,95,220,1250,29,29
163,0,252,220,1250,27,27
164,0,440,220,1250,34,34
165,1,690,220,1250,33,58
166,0,940,220,1250,31,31
167,0,1190,220,1250,31,31
168,0,1440,220,1250,34,34
169,0,1690,220,1250,30,30
170,0,1940,220,1250,30,30
171,0,2190,220,1250,33,33
172,0,2440,220,1250,34,34
173,0,2690,220,1250,31,31
174,2,2940,220,1250,35,134
175,0,3190,220,1250,38,38
179,0,220,565,1250,30,30
180,0,220,815,1250,33,33
181,3,220,1002,1250,31,42
182,0,220,3127,1250,28,28
183,0,220,3315,1250,28,28
184,0,220,3565,1250,26,26
185,0,220,3815,1250,27,27
186,0,220,4065,1250,26,26
187,4,220,95,1500,36,296
188,0,220,252,1500,46,46
189,1,220,440,1500,40,98
190,0,220,690,1500,33,33
191,3,220,940,1500,30,45
192,0,220,3190,1500,26,26
193,0,220,3440,1500,30,30
194,0,220,3690,1500,31,31
195,0,220,3940,1500,35,35
196,0,565,220,1500,37,37
197,0,815,220,1500,41,41
198,0,1065,220,1500,38,38
199,0,1315,220,1500,36,36
200,0,1565,220,1500,34,34
201,0,1815,220,1500,34,34
202,0,2065,220,1500,37,37
203,0,2315,220,1500,38,38
204,0,2565,220,1500,37,37
205,0,2815,220,1500,37,37
206,0,3065,220,1500,41,41
207,0,3315,220,1500,42,42
208,0,3565,220,1500,49,49
209,0,3815,220,1500,42,42
210,3,4002,220,1500,38,51
211,0,95,220,1750,34,34
212,0,252,220,1750,31,31
213,0,440,220,1750,32,32
214,0,690,220,1750,31,31
215,0,940,220,1750,30,30
216,0,1190,220,1750,34,34
217,0,1440,220,1750,34,34
218,0,1690,220,1750,32,32
219,0,1940,220,1750,35,35
220,0,2190,220,1750,35,35
221,0,2440,220,1750,34,34
222,0,2690,220,1750,41,41
223,0,2940,220,1750,38,38
224,0,3190,220,1750,40,40
225,0,3440,220,1750,37,37
226,0,3690,220,1750,34,34
227,2,3940,220,1750,35,116
228,0,220,565,1750,36,36
229,0,220,815,1750,31,31
230,3,220,1002,1750,28,47
231,0,220,3127,1750,24,24
232,0,220,3315,1750,27,27
233,0,220,3565,1750,28,28
234,0,220,3815,1750,27,27
235,0,220,95,2000,43,43
236,0,220,252,2000,54,54
237,0,220,440,2000,33,33
238,0,220,690,2000,32,32
239,3,220,940,2000,35,41
240,0,220,3190,2000,37,37
241,0,220,3440,2000,26,26
242,0,220,3690,2000,28,28
243,0,565,220,2000,38,38
244,0,815,220,2000,36,36
245,0,1065,220,2000,33,33
246,0,1315,220,2000,34,34
247,0,1565,220,2000,33,33
248,0,1815,220,2000,33,33
249,0,2065,220,2000,39,39
250,0,2315,220,2000,35,35
251,0,2565,220,2000,35,35
252,0,2815,220,2000,36,36
253,0,3065,220,2000,36,36
254,0,3315,220,2000,35,35
255,0,3565,220,2000,39,39
256,0,3815,220,2000,36,36
257,3,4002,220,2000,34,49
258,0,95,220,2250,32,32
259,0,252,220,2250,30,30
260,0,440,220,2250,32,32
261,0,690,220,2250,34,34
262,0,940,220,2250,34,34
263,0,1190,220,2250,33,33
264,0,1440,220,2250,35,35
265,1,1690,220,2250,34,54
266,0,1940,220,2250,33,33
267,0,2190,220,2250,37,37
268,0,2440,220,2250,36,36
269,0,2690,220,2250,36,36
270,0,2940,220,2250,47,47
271,0,3190,220,2250,38,38
272,0,3440,220,2250,37,37
273,0,3690,220,2250,39,39
275,3,220,752,2250,41,82
276,0,220,3127,2250,44,44
277,0,220,3315,2250,26,26
