x,y,z
74.068009,459.257085,1284.27937
-90.469918,4908.974287,2217.329413
522.038105,3074.229521,26.093198
425.050105,2247.934429,2739.421127
516.696927,3425.334231,1590.205995
564.445467,240.16972,2749.887095
472.650817,4770.144746,813.291504
466.80659,1638.355701,1813.784299
375.145165,2165.54955,835.952475
-75.458317,888.712727,13.321199
-85.272175,3866.091031,2688.282077
-59.244432,2830.783828,2026.914552
352.631227,1065.412145,2529.092384
325.977543,4070.043665,124.140596
3.766591,4096.261783,1708.870532
27.149285,2959.781761,933.404394
28.411123,-81.593159,46.438264
574.61803,962.126355,727.981343
-64.310299,4851.067214,159.412544
-99.371161,1648.32412,1245.872512
547.640089,4316.312956,2563.040271
-96.945222,3812.693663,926.696242
134.220645,2173.079387,24.717521
-3.580763,7.032432,1927.045742
541.919412,915.216137,1809.415181
550.781007,3490.413448,2467.788985
591.206239,316.81003,254.365705
587.480151,2489.129681,1802.019032
564.991255,4722.305874,1670.315517
470.67854,-91.690981,1050.087836
-81.315857,1361.853162,556.897306
-60.636288,1921.570599,2147.515357
-73.563366,2473.028955,1478.673815
-24.628879,4491.55238,1067.630118
595.76287,2925.204198,1241.450001
120.890191,523.980986,2334.553494
586.73507,913.203885,43.042461
167.345604,3453.368962,436.419528
573.092435,322.798031,1596.63265
548.024067,3937.092522,1088.703231
-10.056999,399.372036,515.588393
514.112959,1564.125032,406.052783
-9.140043,2479.467094,640.131427
-74.844298,3110.246414,2724.549618
504.385638,4717.636725,178.537087
-77.546785,2348.706503,2580.421762
325.834685,1060.001168,1248.318011
548.71754,2620.063125,412.969333
-33.19938,3088.377794,1569.331521
3.601479,4322.435472,594.666129
494.336812,4721.508615,2226.085253
337.10895,3774.861846,2053.131267
406.19235,1564.454379,1093.910549
-81.071657,149.754507,2641.539521
432.831669,2963.676882,2238.279853
-46.558764,4652.452567,1724.877136
323.604907,1650.101583,2465.526861
-72.884024,3487.499791,2260.497869
-23.983905,2665.474628,164.891134
273.786772,2035.243639,1504.565776
142.779669,1131.841211,2027.873399
595.763755,3580.589239,614.938039
38.160505,-79.107289,1396.79727
537.751722,506.427172,975.348023
514.481307,4054.795227,1545.13753
318.188172,80.846768,613.737728
94.85281,568.805157,1820.096304
546.703356,2050.911586,2302.63087
596.178136,4215.232244,482.629711
419.880142,2908.309907,1753.723933
208.739056,4249.144495,2172.26085
153.129698,4900.736088,2708.244937
147.216851,1320.679523,12.930732
579.370773,-85.478401,2100.929403
273.449451,3335.415998,1092.473642
400.92191,3038.029597,517.999655
-98.135424,2774.616948,2524.086036
205.486437,2269.698881,1926.092576
448.781591,3637.679074,23.863102
331.086192,4364.307519,1755.021126
490.57125,4837.097013,1289.552476
427.56079,2700.010628,844.315927
-40.919595,1855.341321,732.3437
-55.58312,847.127768,778.458028
413.628713,2871.03544,2715.515221
577.700279,2082.012677,59.107814
127.762082,2410.595723,1101.805794
70.41951,4919.819376,886.526676
-42.385447,3525.127417,1363.338572
512.181262,267.906643,2324.782354
224.41684,3582.441429,2748.490173
15.548158,4423.709503,210.860173
266.162382,2517.543493,2329.37756
-38.221266,-86.725447,919.857966
432.571139,2399.621064,1381.254912
580.764927,1415.867478,2205.836324
67.513166,1977.898888,360.960001
-59.473325,1109.585667,2557.476963
295.527759,4042.772594,759.71581
594.651245,657.442393,2165.387736
258.470352,4223.500428,1245.375649
9.81668,958.280015,1493.540969
149.141968,858.109489,340.776735
323.928353,1248.373869,1573.755703
332.589669,1.406764,227.137171
259.475655,4929.033421,494.948163
-27.415556,4482.826107,2450.232092
125.451055,1977.357509,1107.314819
-55.713945,3917.119176,363.386572
186.481444,3285.226216,1983.019373
4.594038,1512.099734,2568.423226
255.419108,400.723762,6.028075
344.315303,233.907268,1179.626348
224.356821,425.384893,807.390246
-29.8024,-55.360186,2354.68946
28.065446,3246.830761,98.741444
215.552493,1193.93468,850.485144
159.824766,3738.640642,1659.908254
-90.286111,3471.875823,747.51664
461.617786,303.623854,1941.085597
422.496044,1893.535821,588.861275
584.38795,3242.974514,771.543619
502.382253,4798.862741,2683.446033
-78.125772,2834.963433,1296.086044
520.084712,2260.672566,488.179887
584.933324,4332.493493,1362.474831
505.581003,-99.682959,1591.407717
-36.017597,1480.561685,2071.310256
-23.116822,1488.580852,1588.203182
426.846009,3876.932609,418.016806
599.989538,3958.203872,2745.902541
559.986457,652.270815,1412.605051
386.361164,677.949947,2573.661446
561.359873,4390.716251,1027.719888
376.289147,3309.282824,222.222713
476.156744,1513.85238,87.065664
-57.376484,3892.767919,1351.740184
245.094935,4936.730239,1864.544947
-61.638984,4648.359319,691.676765
490.804466,2468.153642,64.248787
587.897527,1313.054698,2655.549612
148.524771,4559.084201,1989.059439
147.30257,4451.812634,1461.304779
175.472062,2074.574851,2352.995488
584.149691,2652.066027,2427.786526
-60.479329,1147.509036,1062.028734
245.74176,3736.859397,1024.552884
531.231613,1784.50586,1411.590218
18.723836,787.836399,2531.661175
87.158175,3875.587476,2316.568591
570.890752,3217.433816,2029.177783
525.94031,2016.32065,1816.66304
-99.50004,367.589967,143.643975
290.12309,2451.76648,590.567512
599.727101,2390.714896,1001.241043
563.217488,3971.136224,2357.224405
-66.079878,3179.523658,437.009456
-33.873458,1702.63145,225.659546
578.889581,1304.898579,1291.328258
192.009862,427.881086,2652.022463
42.487546,3295.914334,2502.130943
178.194428,1282.164172,380.888069
434.661261,653.845016,715.77479
556.587403,4478.549346,2001.043638
140.542204,2656.724702,1713.990501
352.855211,3827.196367,2561.545611
571.359486,1853.063802,2670.354598
260.442389,3.012196,2740.559172
132.417126,213.793977,1632.939593
346.921859,4437.71914,7.514479
505.020566,840.298832,395.050198
140.110213,1723.215986,1896.674708
-99.27709,742.955112,2022.030602
-61.886054,2025.195177,1381.057989
152.39579,4135.945241,2676.464147
574.726192,2710.522607,1514.3635
294.957828,791.949435,2055.975094
99.193936,241.119915,2154.192694
560.252243,-77.284398,2549.411282
453.994099,4092.248549,1897.642707
-90.315935,234.242769,1082.198734
232.610251,1515.819377,717.742433
335.495447,2697.233067,2048.956495
553.59202,1906.077504,931.282794
596.981626,3386.065212,1183.610801
230.383825,1805.602642,71.465661
-2.418355,1923.126135,2702.32151
257.122309,850.753256,926.16039
-88.904678,4144.501142,1150.199419
-60.055667,3705.103538,2060.774288
268.841446,2875.737559,1354.001653
265.930105,675.483266,1199.406626
444.848095,3702.754257,1378.702441
127.738908,3869.001685,1.57375
-83.172534,4079.595981,56.679827
270.356263,3369.219081,2273.976656
397.569968,2115.649216,1137.004998
-52.006637,2999.957297,2344.392597
-17.088916,3389.821655,1746.66038
288.864165,2820.741643,13.561398
-47.683941,2807.569536,626.737754
458.385591,4464.861059,623.845498
65.236961,4817.750828,1237.071892
115.528166,1445.288564,1177.025618
14.933442,96.216134,384.481117
537.416277,3515.278151,2029.028781
222.030648,1019.976209,55.038961
-33.415609,4024.047303,1998.422657
551.635397,1260.43001,514.283885
258.548282,3382.89257,809.050099
422.3557,585.22213,1776.863591
-94.178088,3149.596243,1264.965512
466.212217,2349.380591,2086.292843
-99.671685,2457.621477,2092.374957
313.044068,4407.700479,346.780882
-81.205891,4189.661841,2332.29861
357.879766,668.448928,126.372162
552.95022,1204.815092,211.026718
583.717143,390.049643,640.484559
303.343416,-91.202751,1805.848544
175.268403,3601.156605,84.402702
569.48206,4402.494727,195.155898
18.370023,3755.94911,652.291946
171.450981,2630.38015,1389.006505
-63.803854,758.029186,1180.544298
253.730965,3242.788891,1600.652883
588.595807,960.491791,2341.966749
-58.539229,540.34426,797.192646
-39.099555,919.69544,1785.389374
-44.049715,2071.400873,1700.40325
-45.037073,1573.063525,946.52117
-81.358661,3457.069383,2745.607787
510.071383,2393.531727,2495.307234
177.855683,4491.903435,754.4433
588.849889,1078.435689,1068.328852
588.409283,4137.0267,881.78623
-96.683634,4819.078239,2502.47005
148.158575,1638.755965,2221.239207
283.172457,4500.627188,2347.540982
598.309785,1332.604153,841.374004
222.168786,2543.9703,340.69432
114.819333,1813.683221,1588.000052
-87.409327,224.525146,1421.715466
269.401319,1320.436053,2298.034898
358.552449,1050.366922,541.347754
283.392758,544.568625,473.909917
85.28298,2626.805043,2705.291553
329.241035,3087.629407,2468.123756
415.649861,3602.088867,1776.418366
506.552098,1247.388944,1861.54262
355.41628,4551.497543,2638.268273
367.866807,2885.998096,1053.801539
36.796464,2136.165701,717.859604
