id,type_brick,type,rotation,x,y,z,layer,pallet,dist,start_to_verif,verif_to_dest,dest_to_end,total_time
1,CORNER,2,90,220,95,0,1,1,2731,6,17,18,41
2,HALF,3,90,220,252,0,1,1,2596,3,17,16,36
4,BASIC,1,90,220,690,0,1,2,2350,6,14,17,37
6,BASIC,1,90,220,1190,0,1,4,1804,7,14,14,35
9,BASIC,1,90,220,1940,0,1,7,1454,8,13,24,45
10,BASIC,1,90,220,2190,0,1,8,1409,8,14,12,34
11,BASIC,1,90,220,2440,0,1,9,1408,8,12,14,34
12,BASIC,1,90,220,2690,0,1,10,1450,6,13,13,32
13,BASIC,1,90,220,2940,0,1,11,1532,10,10,27,47
14,BASIC,1,90,220,3190,0,1,12,1648,8,12,14,34
19,BASIC,1,90,220,4440,0,1,17,2538,10,10,36,56
21,END,4,0,565,220,0,1,1,2626,6,20,20,46
23,BASIC,1,0,1065,220,0,1,20,2576,8,21,18,47
24,BASIC,1,0,1315,220,0,1,21,2642,9,17,18,44
25,BASIC,1,0,1565,220,0,1,22,2729,5,20,19,44
26,BASIC,1,0,1815,220,0,1,23,2836,5,21,18,44
27,BASIC,1,0,2065,220,0,1,24,2960,8,18,18,44
28,BASIC,1,0,2315,220,0,1,25,3100,10,15,21,46
29,BASIC,1,0,2565,220,0,1,26,3252,6,19,21,46
30,BASIC,1,0,2815,220,0,1,27,3417,8,14,24,46
32,BASIC,1,0,3315,220,0,1,29,3773,8,17,27,52
33,BASIC,1,0,3565,220,0,1,30,3963,8,17,24,49
35,HALF,3,180,4002,220,0,1,2,4439,6,21,9,36
36,CORNER,2,180,95,220,250,2,2,2642,8,14,16,38
37,HALF,3,0,252,220,250,2,3,2525,4,14,25,43
38,BASIC,1,180,440,220,250,2,32,2386,6,15,21,42
39,BASIC,1,180,690,220,250,2,33,2393,9,14,16,39
40,BASIC,1,180,940,220,250,2,34,2426,8,16,20,44
41,BASIC,1,180,1190,220,250,2,35,2483,7,18,16,41
42,BASIC,1,180,1440,220,250,2,36,2564,10,18,16,44
43,BASIC,1,180,1690,220,250,2,37,2666,8,22,22,52
44,BASIC,1,180,1940,220,250,2,38,2786,6,18,22,46
45,BASIC,1,180,2190,220,250,2,39,2923,6,19,18,43
47,BASIC,1,180,2690,220,250,2,41,3238,8,16,22,46
48,BASIC,1,180,2940,220,250,2,42,3412,8,17,28,53
49,BASIC,1,180,3190,220,250,2,43,3595,6,18,23,47
50,BASIC,1,180,3440,220,250,2,44,3786,5,21,20,46
51,BASIC,1,180,3690,220,250,2,45,3983,8,22,17,47
53,END,4,90,220,565,250,2,3,2232,16,15,7,38
54,BASIC,1,90,220,815,250,2,46,1902,17,15,6,38
55,BASIC,1,90,220,1065,250,2,47,1711,21,12,10,43
56,BASIC,1,90,220,1315,250,2,48,1536,19,10,9,38
57,BASIC,1,90,220,1565,250,2,49,1385,19,11,9,39
58,BASIC,1,90,220,1815,250,2,50,1266,16,13,17,46
59,BASIC,1,90,220,2065,250,2,51,1187,7,13,23,43
60,BASIC,1,90,220,2315,250,2,52,1159,9,11,17,37
61,BASIC,1,90,220,2565,250,2,53,1184,7,14,24,45
62,BASIC,1,90,220,2815,250,2,54,1259,5,13,14,32
63,BASIC,1,90,220,3065,250,2,55,1375,6,12,18,36
64,BASIC,1,90,220,3315,250,2,56,1525,10,10,17,37
65,BASIC,1,90,220,3565,250,2,57,1698,6,13,15,34
66,BASIC,1,90,220,3815,250,2,58,1888,7,13,27,47
67,BASIC,1,90,220,4065,250,2,59,2091,8,12,16,36
68,BASIC,1,90,220,4315,250,2,60,2303,10,11,15,36
70,CORNER,2,90,220,95,500,3,3,2544,14,16,15,45
71,HALF,3,90,220,252,500,3,4,2266,5,15,36,56
72,BASIC,1,90,220,440,500,3,62,2096,9,13,16,38
73,BASIC,1,90,220,690,500,3,63,1874,7,17,14,38
74,BASIC,1,90,220,940,500,3,64,1661,7,15,12,34
75,BASIC,1,90,220,1190,500,3,65,1459,5,15,14,34
76,BASIC,1,90,220,1440,500,3,66,1274,2,14,38,54
78,BASIC,1,90,220,1940,500,3,68,995,7,11,14,32
81,BASIC,1,90,220,2690,500,3,71,988,9,11,13,33
86,BASIC,1,90,220,3940,500,3,76,1858,6,11,18,35
87,BASIC,1,90,220,4190,500,3,77,2079,5,12,24,41
89,END,4,0,565,220,500,3,4,2279,10,12,30,52
90,BASIC,1,0,815,220,500,3,79,2300,13,16,17,46
