x,y,z,dist,time
74,459,1284,4840,39.019000000000005
-90,4908,2217,4571,38.212
522,3074,26,2718,32.653000000000006
425,2247,2739,4318,37.453
516,3425,1590,3308,34.423
564,240,2749,6472,43.915
472,4770,813,4329,37.486
466,1638,1813,4319,37.456
375,2165,835,3301,34.402
-75,888,13,4162,36.985
-85,3866,2688,3881,36.141999999999996
-59,2830,2026,2735,32.704
352,1065,2529,5266,40.297000000000004
325,4070,124,3494,34.981
3,4096,1708,3530,35.089
27,2959,933,2179,31.036
28,-81,46,5225,40.174
574,962,727,4686,38.556999999999995
-64,4851,159,3879,36.136
-99,1648,1245,3462,34.885
547,4316,2563,4867,39.1
-96,3812,926,2826,32.977
134,2173,24,3083,33.748000000000005
-3,7,1927,5551,41.152
541,915,1809,5115,39.844
550,3490,2467,3972,36.415
591,316,254,5351,40.55199999999999
587,2489,1802,3583,35.248000000000005
564,4722,1670,4696,38.587
470,-91,1050,5704,41.611
-81,1361,556,3618,35.353
-60,1921,2147,3724,35.671
-73,2473,1478,2764,32.791
-24,4491,1067,3615,35.344
595,2925,1241,2878,33.132999999999996
120,523,2334,5432,40.795
586,913,43,4790,38.869
167,3453,436,2681,32.542
573,322,1596,5621,41.362
548,3937,1088,3639,35.416
-10,399,515,4651,38.452000000000005
514,1564,406,4012,36.535
-9,2479,640,2577,32.230000000000004
-74,3110,2724,3164,33.991
504,4717,178,4309,37.426
-77,2348,2580,3592,35.275000000000006
325,1060,1248,4475,37.924
548,2620,412,2990,33.469
-33,3088,1569,2411,31.732
3,4322,594,3387,34.66
494,4721,2226,4974,39.421
337,3774,2053,3753,35.757999999999996
406,1564,1093,3998,36.493
-81,149,2641,5834,42.001000000000005
432,2963,2238,3236,34.207
-46,4652,1724,4046,36.637
323,1650,2465,4604,38.31099999999999
-72,3487,2260,3198,34.092999999999996
-23,2665,164,2403,31.708000000000002
273,2035,1504,3561,35.182
142,1131,2027,4636,38.407000000000004
595,3580,614,3238,34.213
38,-79,1396,5389,40.666000000000004
537,506,975,5153,39.958
514,4054,1545,3912,36.235
318,80,613,5301,40.402
94,568,1820,5022,39.565
546,2050,2302,4308,37.423
596,4215,482,3871,36.112
419,2908,1753,2967,33.400000000000006
208,4249,2172,4179,37.036
153,4900,2708,5169,40.006
147,1320,12,3952,36.355000000000004
579,-85,2100,6337,43.510000000000005
273,3335,1092,2763,32.788
400,3038,517,2498,31.993
-98,2774,2524,3103,33.808
205,2269,1926,3496,34.987
448,3637,23,3207,34.12
331,4364,1755,4152,36.955
490,4837,1289,4554,38.161
427,2700,844,2819,32.956
-40,1855,732,3180,34.039
-55,847,778,4179,37.036
413,2871,2715,3663,35.488
577,2082,59,3608,35.323
127,2410,1101,2875,33.124
70,4919,886,4090,36.769
-42,3525,1363,2741,32.722
512,267,2324,6073,42.717999999999996
224,3582,2748,3953,36.358
15,4423,210,3521,35.062
266,2517,2329,3581,35.242
-38,-86,919,5156,39.967
432,2399,1381,3299,34.396
580,1415,2205,4909,39.226
67,1977,360,3155,33.964
-59,1109,2557,4832,38.995
295,4042,759,3415,34.744
594,657,2165,5654,41.461
258,4223,1245,3690,35.569
9,958,1493,4369,37.606
149,858,340,4358,37.573
323,1248,1573,4433,37.798
332,1,227,5411,40.732
259,4929,494,4248,37.243
-27,4482,2450,4375,37.623999999999995
125,1977,1107,3308,34.423
-55,3917,363,2927,33.28
186,3285,1983,3067,33.699999999999996
4,1512,2568,4500,37.998999999999995
255,400,6,4982,39.44499999999999
344,233,1179,5296,40.38699999999999
224,425,807,4885,39.154
-29,-55,2354,5876,42.127
28,3246,98,2378,31.633
215,1193,850,4116,36.847
159,3738,1659,3301,34.402
-90,3471,747,2458,31.873
461,303,1941,5728,41.683
422,1893,588,3591,35.272
584,3242,771,2906,33.217
502,4798,2683,5396,40.687
-78,2834,1296,2317,31.45
520,2260,488,3320,34.458999999999996
584,4332,1362,4173,37.018
505,-99,1591,5971,42.412
-36,1480,2071,4138,36.913000000000004
-23,1488,1588,3855,36.064
426,3876,418,3363,34.588
599,3958,2745,4702,38.605000000000004
559,652,1412,5187,40.06
386,677,2573,5721,41.662
561,4390,1027,4087,36.76
376,3309,222,2766,32.797
476,1513,87,4070,36.708999999999996
-57,3892,1351,3087,33.76
245,4936,1864,4703,38.608000000000004
-61,4648,691,3657,35.47
490,2468,64,3134,33.900999999999996
587,1313,2655,5349,40.546
148,4559,1989,4307,37.42
147,4451,1461,3900,36.199000000000005
175,2074,2352,3949,36.346000000000004
584,2652,2427,3835,36.004
-60,1147,1062,3939,36.316
245,3736,1024,3116,33.847
531,1784,1411,4026,36.577
18,787,2531,5211,40.132000000000005
87,3875,2316,3784,35.851
570,3217,2029,3413,34.738
525,2016,1816,4002,36.505
-99,367,143,4629,38.386
290,2451,590,2901,33.202
599,2390,1001,3338,34.513
563,3971,2357,4386,37.657
-66,3179,437,2174,31.021
-33,1702,225,3346,34.537
578,1304,1291,4501,38.002
192,427,2652,5837,42.010000000000005
42,3295,2502,3295,34.384
178,1282,380,3960,36.379
434,653,715,4853,39.058
556,4478,2001,4642,38.425000000000004
140,2656,1713,2918,33.253
352,3827,2561,4182,37.045
571,1853,2670,4804,38.911
260,3,2740,6398,43.693000000000005
132,213,1632,5308,40.422999999999995
346,4437,7,3910,36.229
505,840,395,4728,38.683
140,1723,1896,3959,36.376
-99,742,2022,4780,38.839
-61,2025,1381,3180,34.039
152,4135,2676,4378,37.632999999999996
574,2710,1514,3192,34.074999999999996
294,791,2055,5146,39.937
99,241,2154,5567,41.199999999999996
