id,x,y,z,time,delay,type_delay,total_time,dist,time_calc
150,1315,220,1000,29,0,0,29,3443,34.828
75,220,1190,500,33,0,0,33,3590,35.269
239,220,940,2000,35,6,3,41,4387,37.66
199,1315,220,1500,36,0,0,36,3636,35.407
51,3690,220,250,50,0,0,50,5767,41.800000000000004
275,220,752,2250,41,41,3,82,4744,38.730999999999995
221,2440,220,1750,34,0,0,34,4895,39.184000000000005
80,220,2440,500,28,0,0,28,2340,31.519000000000002
193,220,3440,1500,30,0,0,30,2481,31.942
46,2440,220,250,46,0,0,46,4517,38.050000000000004
125,220,1565,750,32,0,0,32,3232,34.195
155,2565,220,1000,37,0,0,37,4693,38.578
192,220,3190,1500,26,0,0,26,2231,31.192
63,220,3065,250,34,0,0,34,1862,30.085
33,3565,220,0,53,0,0,53,5693,41.578
172,2440,220,1250,34,0,0,34,4651,38.452000000000005
171,2190,220,1250,33,0,0,33,4401,37.702
79,220,2190,500,33,0,0,33,2590,32.269000000000005
38,440,220,250,43,0,0,43,2517,32.05
137,220,95,1000,28,0,0,28,4753,38.757999999999996
82,220,2940,500,30,0,0,30,1840,30.019000000000002
200,1565,220,1500,34,0,0,34,3886,36.157
116,2940,220,750,52,0,0,52,5017,39.550000000000004
244,815,220,2000,36,0,0,36,3422,34.765
267,2190,220,2250,37,0,0,37,4966,39.397
72,220,440,500,37,0,0,37,4340,37.519
154,2315,220,1000,37,0,0,37,4443,37.828
153,2065,220,1000,35,0,0,35,4193,37.078
174,2940,220,1250,35,99,2,134,5151,39.952000000000005
70,220,95,500,55,0,0,55,4685,38.554
109,1190,220,750,38,0,0,38,3267,34.3
210,4002,220,1500,38,13,3,51,6323,43.467999999999996
227,3940,220,1750,35,81,2,116,6395,43.684000000000005
229,220,815,1750,31,0,0,31,4360,37.579
110,1440,220,750,35,0,0,35,3517,35.05
230,220,1002,1750,28,19,3,47,4173,37.018
226,3690,220,1750,34,0,0,34,6145,42.934000000000005
114,2440,220,750,37,0,0,37,4517,38.050000000000004
216,1190,220,1750,34,0,0,34,3645,35.434
29,2565,220,0,46,0,0,46,4693,38.578
186,220,4065,1250,26,0,0,26,2996,33.487
203,2315,220,1500,38,0,0,38,4636,38.407000000000004
189,220,440,1500,40,58,1,98,4601,38.30199999999999
134,220,3815,750,36,0,0,36,2612,32.335
188,220,252,1500,46,0,0,46,4789,38.866
240,220,3190,2000,37,0,0,37,2517,32.05
25,1565,220,0,42,0,0,42,3693,35.578
2,220,252,0,35,0,0,35,4596,38.287
129,220,2565,750,32,0,0,32,2232,31.195
264,1440,220,2250,35,0,0,35,4216,37.147
22,815,220,0,46,0,0,46,2943,33.328
241,220,3440,2000,26,0,0,26,2767,32.8
