id,x,y,z,time,delay,type_delay,total_time
150,1315,220,1000,29,0,0,29
75,220,1190,500,33,0,0,33
239,220,940,2000,35,6,3,41
199,1315,220,1500,36,0,0,36
51,3690,220,250,50,0,0,50
275,220,752,2250,41,41,3,82
221,2440,220,1750,34,0,0,34
80,220,2440,500,28,0,0,28
193,220,3440,1500,30,0,0,30
46,2440,220,250,46,0,0,46
125,220,1565,750,32,0,0,32
155,2565,220,1000,37,0,0,37
192,220,3190,1500,26,0,0,26
63,220,3065,250,34,0,0,34
33,3565,220,0,53,0,0,53
172,2440,220,1250,34,0,0,34
171,2190,220,1250,33,0,0,33
79,220,2190,500,33,0,0,33
38,440,220,250,43,0,0,43
137,220,95,1000,28,0,0,28
82,220,2940,500,30,0,0,30
200,1565,220,1500,34,0,0,34
116,2940,220,750,52,0,0,52
244,815,220,2000,36,0,0,36
267,2190,220,2250,37,0,0,37
72,220,440,500,37,0,0,37
154,2315,220,1000,37,0,0,37
153,2065,220,1000,35,0,0,35
174,2940,220,1250,35,99,2,134
70,220,95,500,55,0,0,55
109,1190,220,750,38,0,0,38
210,4002,220,1500,38,13,3,51
227,3940,220,1750,35,81,2,116
229,220,815,1750,31,0,0,31
110,1440,220,750,35,0,0,35
230,220,1002,1750,28,19,3,47
226,3690,220,1750,34,0,0,34
114,2440,220,750,37,0,0,37
216,1190,220,1750,34,0,0,34
29,2565,220,0,46,0,0,46
186,220,4065,1250,26,0,0,26
203,2315,220,1500,38,0,0,38
189,220,440,1500,40,58,1,98
134,220,3815,750,36,0,0,36
188,220,252,1500,46,0,0,46
240,220,3190,2000,37,0,0,37
25,1565,220,0,42,0,0,42
2,220,252,0,35,0,0,35
129,220,2565,750,32,0,0,32
264,1440,220,2250,35,0,0,35
22,815,220,0,46,0,0,46
241,220,3440,2000,26,0,0,26
119,3690,220,750,40,0,0,40
271,3190,220,2250,38,0,0,38
127,220,2065,750,32,0,0,32
258,95,220,2250,32,0,0,32
136,220,4315,750,34,0,0,34
42,1440,220,250,43,0,0,43
120,3940,220,750,38,29,3,67
107,690,220,750,34,0,0,34
56,220,1315,250,39,0,0,39
160,3815,220,1000,36,0,0,36
99,3065,220,500,37,0,0,37
108,940,220,750,33,0,0,33
224,3190,220,1750,40,0,0,40
5,220,940,0,34,0,0,34
131,220,3065,750,29,0,0,29
265,1690,220,2250,34,20,1,54
175,3190,220,1250,38,0,0,38
49,3190,220,250,46,0,0,46
64,220,3315,250,37,0,0,37
71,220,252,500,36,0,0,36
76,220,1440,500,32,0,0,32
182,220,3127,1250,28,0,0,28
257,4002,220,2000,34,15,3,49
208,3565,220,1500,49,0,0,49
73,220,690,500,38,0,0,38
256,3815,220,2000,36,0,0,36
89,565,220,500,40,0,0,40
93,1565,220,500,37,0,0,37
148,815,220,1000,32,0,0,32
145,220,3940,1000,24,0,0,24
94,1815,220,500,41,0,0,41
194,220,3690,1500,31,0,0,31
111,1690,220,750,37,0,0,37
272,3440,220,2250,37,0,0,37
262,940,220,2250,34,0,0,34
103,4002,220,500,46,14,3,60
7,220,1440,0,34,0,0,34
214,690,220,1750,31,0,0,31
24,1315,220,0,44,0,0,44
11,220,2440,0,32,0,0,32
58,220,1815,250,39,0,0,39
30,2815,220,0,46,0,0,46
39,690,220,250,42,0,0,42
222,2690,220,1750,41,0,0,41
277,220,3315,2250,26,0,0,26
117,3190,220,750,55,0,0,55
31,3065,220,0,52,198,4,250
165,690,220,1250,33,25,1,58
201,1815,220,1500,34,0,0,34
183,220,3315,1250,28,0,0,28
43,1690,220,250,49,0,0,49
67,220,4065,250,36,0,0,36
44,1940,220,250,46,0,0,46
147,565,220,1000,31,0,0,31
34,3815,220,0,47,0,0,47
124,220,1315,750,34,0,0,34
74,220,940,500,38,0,0,38
185,220,3815,1250,27,0,0,27
68,220,4315,250,37,0,0,37
253,3065,220,2000,36,0,0,36
87,220,4190,500,35,0,0,35
184,220,3565,1250,26,0,0,26
101,3565,220,500,39,0,0,39
179,220,565,1250,30,0,0,30
252,2815,220,2000,36,0,0,36
159,3565,220,1000,33,0,0,33
20,220,4690,0,40,200,1,240
133,220,3565,750,30,0,0,30
57,220,1565,250,38,0,0,38
21,565,220,0,42,0,0,42
191,220,940,1500,30,15,3,45
149,1065,220,1000,31,0,0,31
202,2065,220,1500,37,0,0,37
158,3315,220,1000,33,0,0,33
142,220,3190,1000,24,0,0,24
14,220,3190,0,47,0,0,47
6,220,1190,0,34,62,2,96
225,3440,220,1750,37,0,0,37
97,2565,220,500,42,0,0,42
15,220,3440,0,32,0,0,32
211,95,220,1750,34,0,0,34
36,95,220,250,37,0,0,37
152,1815,220,1000,32,0,0,32
260,440,220,2250,32,0,0,32
261,690,220,2250,34,0,0,34
247,1565,220,2000,33,0,0,33
55,220,1065,250,43,0,0,43
218,1690,220,1750,32,0,0,32
10,220,2190,0,42,0,0,42
141,220,940,1000,24,24,3,48
248,1815,220,2000,33,0,0,33
223,2940,220,1750,38,0,0,38
173,2690,220,1250,31,0,0,31
90,815,220,500,56,0,0,56
53,220,565,250,39,0,0,39
139,220,440,1000,30,0,0,30
47,2690,220,250,48,0,0,48
254,3315,220,2000,35,0,0,35
196,565,220,1500,37,0,0,37
