time,state_index,state
0,5,6
1,5,6
2,5,6
3,4,5
4,4,5
5,4,5
6,1,2
7,0,1
8,0,1
9,0,1
10,3,4
11,1,2
12,2,3
13,1,2
14,2,3
15,4,5
16,4,5
17,5,6
18,6,7
19,7,8
20,6,7
21,5,6
22,5,6
23,7,8
24,7,8
25,4,5
26,4,5
27,3,4
28,3,4
29,4,5
30,2,3
31,3,4
32,4,5
33,4,5
34,4,5
35,2,3
36,2,3
37,2,3
38,1,2
39,1,2
40,0,1
41,0,1
42,0,1
43,0,1
44,0,1
45,2,3
46,2,3
47,2,3
48,6,7
49,5,6
50,5,6
51,5,6
52,4,5
53,2,3
54,3,4
55,1,2
56,2,3
57,4,5
58,4,5
59,3,4
60,2,3
61,2,3
62,2,3
63,3,4
64,3,4
65,2,3
66,2,3
67,3,4
68,3,4
69,4,5
70,4,5
71,4,5
72,4,5
73,4,5
74,5,6
75,5,6
76,5,6
77,5,6
78,5,6
79,5,6
80,7,8
81,8,9
82,8,9
83,5,6
84,5,6
85,4,5
86,3,4
87,4,5
88,2,3
89,0,1
90,0,1
91,0,1
92,0,1
93,0,1
94,1,2
95,0,1
96,0,1
97,0,1
98,3,4
99,1,2
100,0,1
101,0,1
102,0,1
103,1,2
104,1,2
105,0,1
106,0,1
107,0,1
108,0,1
109,0,1
110,1,2
111,1,2
112,0,1
113,0,1
114,0,1
115,0,1
116,1,2
117,1,2
118,0,1
119,0,1
120,3,4
121,3,4
122,3,4
123,2,3
124,2,3
125,1,2
126,0,1
127,0,1
128,0,1
129,0,1
130,0,1
131,0,1
132,0,1
133,0,1
134,0,1
135,1,2
136,2,3
137,4,5
138,7,8
139,7,8
140,7,8
141,7,8
142,7,8
143,7,8
144,6,7
145,7,8
146,7,8
147,10,11
148,10,11
149,10,11
150,7,8
151,7,8
152,6,7
153,7,8
154,8,9
155,8,9
156,10,11
157,10,11
158,9,10
159,8,9
160,6,7
161,5,6
162,2,3
163,2,3
164,2,3
165,2,3
166,3,4
167,4,5
168,6,7
169,6,7
170,9,10
171,7,8
172,7,8
173,5,6
174,5,6
175,5,6
176,1,2
177,2,3
178,3,4
179,2,3
180,2,3
181,3,4
182,5,6
183,5,6
184,5,6
185,5,6
186,4,5
187,4,5
188,4,5
189,3,4
190,4,5
191,4,5
192,7,8
193,7,8
194,7,8
195,7,8
196,7,8
197,7,8
198,6,7
199,5,6
200,6,7
201,6,7
202,3,4
203,3,4
204,4,5
205,3,4
206,3,4
207,3,4
208,5,6
209,6,7
210,6,7
211,5,6
212,5,6
213,4,5
214,6,7
215,5,6
216,4,5
217,2,3
218,4,5
219,4,5
220,5,6
221,4,5
222,4,5
223,4,5
224,2,3
225,2,3
226,2,3
227,1,2
228,1,2
229,0,1
230,0,1
231,0,1
232,1,2
233,2,3
234,2,3
235,2,3
236,2,3
237,5,6
238,5,6
239,5,6
240,6,7
241,5,6
242,5,6
243,7,8
244,7,8
245,6,7
246,6,7
247,4,5
248,2,3
249,2,3
250,2,3
251,2,3
252,3,4
253,3,4
254,4,5
255,2,3
256,2,3
257,2,3
258,2,3
259,1,2
260,0,1
261,2,3
262,2,3
263,3,4
264,4,5
265,4,5
266,2,3
267,2,3
268,2,3
269,4,5
270,6,7
271,6,7
272,4,5
273,3,4
274,3,4
275,1,2
276,1,2
277,2,3
278,2,3
279,2,3
280,4,5
281,4,5
282,7,8
283,7,8
284,7,8
285,7,8
286,5,6
287,4,5
288,4,5
289,1,2
290,1,2
291,1,2
292,0,1
293,0,1
294,0,1
295,1,2
296,1,2
297,1,2
298,0,1
299,0,1
300,2,3
301,2,3
302,0,1
303,0,1
304,1,2
305,1,2
306,3,4
307,5,6
308,4,5
309,4,5
310,3,4
311,1,2
312,1,2
313,2,3
314,2,3
315,2,3
316,1,2
317,2,3
318,2,3
319,2,3
320,2,3
321,2,3
322,1,2
323,1,2
324,2,3
325,0,1
326,2,3
327,2,3
328,4,5
329,5,6
330,4,5
331,4,5
332,4,5
333,4,5
334,2,3
335,2,3
336,2,3
337,2,3
338,5,6
339,5,6
340,5,6
341,5,6
342,5,6
343,5,6
344,5,6
345,7,8
346,5,6
347,5,6
348,5,6
349,5,6
350,3,4
351,6,7
352,7,8
353,7,8
354,7,8
355,5,6
356,5,6
357,5,6
358,5,6
359,5,6
360,5,6
361,5,6
362,5,6
363,5,6
364,5,6
365,6,7
366,6,7
367,6,7
368,6,7
369,6,7
370,6,7
371,6,7
372,4,5
373,3,4
374,4,5
375,4,5
376,4,5
377,4,5
378,4,5
379,5,6
380,5,6
381,5,6
382,4,5
383,7,8
384,7,8
385,6,7
386,6,7
387,7,8
388,7,8
389,7,8
390,8,9
391,8,9
392,7,8
393,7,8
394,7,8
395,6,7
396,7,8
397,7,8
398,5,6
399,5,6
400,5,6
401,7,8
402,5,6
403,5,6
404,5,6
405,4,5
406,6,7
407,4,5
408,2,3
409,3,4
410,6,7
411,7,8
412,7,8
413,5,6
414,5,6
415,4,5
416,4,5
417,4,5
418,4,5
419,4,5
420,4,5
421,4,5
422,7,8
423,6,7
424,6,7
425,8,9
426,10,11
427,10,11
428,10,11
429,10,11
430,6,7
431,6,7
432,6,7
433,7,8
434,7,8
435,6,7
436,4,5
437,4,5
438,4,5
439,4,5
440,2,3
441,0,1
442,0,1
443,3,4
444,3,4
445,1,2
446,3,4
447,3,4
448,4,5
449,5,6
450,5,6
451,4,5
452,4,5
453,4,5
454,5,6
455,3,4
456,3,4
457,4,5
458,5,6
459,6,7
460,5,6
461,5,6
462,7,8
463,4,5
464,4,5
465,5,6
466,7,8
467,7,8
468,5,6
469,5,6
470,7,8
471,7,8
472,6,7
473,6,7
474,4,5
475,4,5
476,5,6
477,5,6
478,5,6
479,5,6
480,7,8
481,7,8
482,5,6
483,5,6
484,4,5
485,4,5
486,4,5
487,4,5
488,4,5
489,5,6
490,6,7
491,6,7
492,6,7
493,4,5
494,3,4
495,1,2
496,0,1
497,0,1
498,0,1
499,0,1
500,1,2
501,0,1
502,1,2
503,0,1
504,2,3
505,2,3
506,4,5
507,4,5
508,4,5
509,4,5
510,8,9
511,7,8
512,7,8
513,7,8
514,7,8
515,7,8
516,7,8
517,7,8
518,7,8
519,6,7
520,5,6
521,5,6
522,6,7
523,7,8
524,5,6
525,5,6
526,4,5
527,4,5
528,4,5
529,4,5
530,4,5
531,3,4
532,0,1
533,0,1
534,1,2
535,1,2
536,1,2
537,2,3
538,2,3
539,2,3
540,2,3
541,5,6
542,5,6
543,3,4
544,4,5
545,4,5
546,4,5
547,6,7
548,5,6
549,4,5
550,5,6
551,7,8
552,5,6
553,5,6
554,5,6
555,5,6
556,5,6
557,5,6
558,2,3
559,2,3
560,2,3
561,2,3
562,4,5
563,4,5
564,2,3
565,4,5
566,4,5
567,5,6
568,6,7
569,7,8
570,7,8
571,7,8
572,7,8
573,7,8
574,5,6
575,6,7
576,7,8
577,6,7
578,6,7
579,6,7
580,7,8
581,5,6
582,4,5
583,4,5
584,4,5
585,4,5
586,5,6
587,5,6
588,5,6
589,7,8
590,7,8
591,6,7
592,6,7
593,6,7
594,7,8
595,10,11
596,10,11
597,10,11
598,10,11
599,10,11
600,9,10
601,9,10
602,8,9
603,7,8
604,7,8
605,6,7
606,6,7
607,8,9
608,9,10
609,7,8
610,7,8
611,5,6
612,5,6
613,5,6
614,5,6
615,7,8
616,4,5
617,1,2
618,1,2
619,0,1
620,0,1
621,0,1
622,3,4
623,4,5
624,6,7
625,6,7
626,5,6
627,5,6
628,5,6
629,7,8
630,7,8
631,8,9
632,8,9
633,8,9
634,8,9
635,9,10
636,9,10
637,9,10
638,6,7
639,6,7
640,6,7
641,4,5
642,5,6
643,5,6
644,5,6
645,5,6
646,5,6
647,7,8
648,6,7
649,7,8
650,7,8
651,6,7
652,5,6
653,5,6
654,5,6
655,6,7
656,6,7
657,6,7
658,6,7
659,6,7
660,4,5
661,6,7
662,6,7
663,5,6
664,5,6
665,4,5
666,5,6
667,5,6
668,5,6
669,6,7
670,7,8
671,7,8
672,7,8
673,7,8
674,7,8
675,5,6
676,5,6
677,6,7
678,7,8
679,7,8
680,7,8
681,6,7
682,6,7
683,6,7
684,6,7
685,6,7
686,4,5
687,4,5
688,4,5
689,3,4
690,3,4
691,1,2
692,1,2
693,3,4
694,2,3
695,2,3
696,2,3
697,4,5
698,5,6
699,5,6
700,7,8
701,5,6
702,5,6
703,5,6
704,5,6
705,5,6
706,5,6
707,4,5
708,3,4
709,0,1
710,2,3
711,0,1
712,0,1
713,1,2
714,1,2
715,2,3
716,2,3
717,4,5
718,5,6
719,4,5
720,4,5
721,4,5
722,4,5
723,4,5
724,5,6
725,4,5
726,3,4
727,6,7
728,6,7
729,6,7
730,6,7
731,6,7
732,7,8
733,7,8
734,7,8
735,7,8
736,5,6
737,5,6
738,5,6
739,4,5
740,8,9
741,10,11
742,10,11
743,7,8
744,7,8
745,7,8
746,7,8
747,7,8
748,7,8
749,6,7
750,4,5
751,5,6
752,4,5
753,4,5
754,4,5
755,4,5
756,2,3
757,2,3
758,2,3
759,3,4
760,1,2
761,3,4
762,2,3
763,3,4
764,1,2
765,2,3
766,1,2
767,1,2
768,0,1
769,0,1
770,1,2
771,0,1
772,0,1
773,0,1
774,0,1
775,0,1
776,2,3
777,2,3
778,4,5
779,3,4
780,5,6
781,7,8
782,7,8
783,5,6
784,5,6
785,5,6
786,5,6
787,7,8
788,5,6
789,4,5
790,4,5
791,5,6
792,5,6
793,5,6
794,8,9
795,7,8
796,7,8
797,7,8
798,7,8
799,5,6
800,5,6
801,5,6
802,5,6
803,5,6
804,6,7
805,6,7
806,5,6
807,5,6
808,5,6
809,2,3
810,0,1
811,0,1
812,1,2
813,4,5
814,4,5
815,2,3
816,3,4
817,3,4
818,4,5
819,5,6
820,5,6
821,5,6
822,4,5
823,4,5
824,4,5
825,2,3
826,2,3
827,5,6
828,5,6
829,4,5
830,3,4
831,3,4
832,2,3
833,4,5
834,5,6
835,5,6
836,4,5
837,6,7
838,7,8
839,4,5
840,4,5
841,5,6
842,3,4
843,5,6
844,5,6
845,7,8
846,7,8
847,7,8
848,5,6
849,4,5
850,4,5
851,5,6
852,6,7
853,6,7
854,7,8
855,7,8
856,6,7
857,7,8
858,7,8
859,5,6
860,7,8
861,7,8
862,7,8
863,7,8
864,7,8
865,7,8
866,4,5
867,3,4
868,3,4
869,2,3
870,2,3
871,4,5
872,2,3
873,0,1
874,0,1
875,0,1
876,0,1
877,1,2
878,0,1
879,0,1
880,0,1
881,0,1
882,0,1
883,1,2
884,0,1
885,0,1
886,0,1
887,0,1
888,0,1
889,0,1
890,0,1
891,1,2
892,3,4
893,1,2
894,0,1
895,2,3
896,2,3
897,3,4
898,4,5
899,4,5
900,2,3
901,1,2
902,2,3
903,4,5
904,4,5
905,5,6
906,5,6
907,5,6
908,4,5
909,1,2
910,1,2
911,1,2
912,2,3
913,2,3
914,2,3
915,5,6
916,5,6
917,5,6
918,4,5
919,4,5
920,3,4
921,6,7
922,5,6
923,5,6
924,4,5
925,4,5
926,4,5
927,4,5
928,4,5
929,4,5
930,6,7
931,7,8
932,5,6
933,5,6
934,6,7
935,6,7
936,7,8
937,7,8
938,7,8
939,7,8
940,7,8
941,7,8
942,7,8
943,7,8
944,7,8
945,6,7
946,4,5
947,3,4
948,2,3
949,2,3
950,4,5
951,4,5
952,4,5
953,5,6
954,10,11
955,10,11
956,10,11
957,10,11
958,10,11
959,10,11
960,10,11
961,10,11
962,10,11
963,10,11
964,10,11
965,10,11
966,10,11
967,10,11
968,10,11
969,10,11
970,10,11
971,10,11
972,10,11
973,10,11
974,10,11
975,10,11
976,10,11
977,10,11
978,10,11
979,8,9
980,9,10
981,8,9
982,7,8
983,6,7
984,6,7
985,2,3
986,0,1
987,0,1
988,0,1
989,3,4
990,0,1
991,0,1
992,1,2
993,2,3
994,5,6
995,4,5
996,3,4
997,4,5
998,5,6
999,5,6
1000,5,6
1001,6,7
1002,6,7
1003,4,5
1004,4,5
1005,4,5
1006,4,5
1007,2,3
1008,2,3
1009,2,3
1010,2,3
1011,1,2
1012,2,3
1013,2,3
1014,0,1
1015,1,2
1016,0,1
1017,0,1
1018,0,1
1019,1,2
1020,2,3
1021,5,6
1022,4,5
1023,4,5
1024,4,5
1025,4,5
1026,4,5
1027,6,7
1028,6,7
1029,7,8
1030,7,8
1031,7,8
1032,6,7
1033,6,7
1034,5,6
1035,5,6
1036,6,7
1037,9,10
1038,7,8
1039,7,8
1040,6,7
1041,7,8
1042,7,8
1043,7,8
1044,5,6
1045,6,7
1046,5,6
1047,5,6
1048,6,7
1049,6,7
1050,6,7
1051,6,7
1052,5,6
1053,5,6
1054,5,6
1055,7,8
1056,7,8
1057,4,5
1058,4,5
1059,3,4
1060,4,5
1061,4,5
1062,5,6
1063,5,6
1064,5,6
1065,5,6
1066,7,8
1067,6,7
1068,5,6
1069,5,6
1070,6,7
1071,7,8
1072,7,8
1073,7,8
1074,6,7
1075,7,8
1076,7,8
1077,7,8
1078,7,8
1079,7,8
1080,7,8
1081,6,7
1082,8,9
1083,9,10
1084,9,10
1085,10,11
1086,9,10
1087,8,9
1088,10,11
1089,9,10
1090,9,10
1091,9,10
1092,9,10
1093,9,10
1094,9,10
1095,9,10
1096,10,11
1097,10,11
1098,10,11
1099,9,10
1100,8,9
1101,8,9
1102,6,7
1103,6,7
1104,7,8
1105,6,7
1106,5,6
1107,5,6
1108,6,7
1109,7,8
1110,5,6
1111,4,5
1112,4,5
1113,5,6
1114,5,6
1115,4,5
1116,2,3
1117,0,1
1118,0,1
1119,0,1
1120,0,1
1121,0,1
1122,1,2
1123,0,1
1124,1,2
1125,3,4
1126,0,1
1127,1,2
1128,1,2
1129,1,2
1130,1,2
1131,3,4
1132,3,4
1133,1,2
1134,2,3
1135,2,3
1136,2,3
1137,2,3
1138,3,4
1139,1,2
1140,1,2
1141,0,1
1142,1,2
1143,0,1
1144,0,1
1145,0,1
1146,0,1
1147,0,1
1148,1,2
1149,0,1
1150,0,1
1151,0,1
1152,2,3
1153,3,4
1154,2,3
1155,2,3
1156,5,6
1157,5,6
1158,2,3
1159,3,4
1160,3,4
1161,0,1
1162,1,2
1163,0,1
1164,1,2
1165,2,3
1166,2,3
1167,4,5
1168,5,6
1169,7,8
1170,7,8
1171,7,8
1172,5,6
1173,5,6
1174,5,6
1175,5,6
1176,5,6
1177,7,8
1178,4,5
1179,5,6
1180,5,6
1181,5,6
1182,4,5
1183,4,5
1184,2,3
1185,0,1
1186,1,2
1187,0,1
1188,0,1
1189,1,2
1190,0,1
1191,0,1
1192,0,1
1193,0,1
1194,0,1
1195,0,1
