x,y,z,dist,time,stochastic_delay,total_time,cum_delay
74,459,1284,4840,39,0,39,0
-90,4908,2217,4571,38,0,38,0
522,3074,26,2718,33,0,33,0
425,2247,2739,4318,37,0,37,0
516,3425,1590,3308,34,0,34,0
564,240,2749,6472,44,0,44,0
472,4770,813,4329,37,0,37,0
466,1638,1813,4319,37,0,37,0
375,2165,835,3301,34,0,34,0
-75,888,13,4162,37,0,37,0
-85,3866,2688,3881,36,0,36,0
-59,2830,2026,2735,33,0,33,0
352,1065,2529,5266,40,0,40,0
325,4070,124,3494,35,0,35,0
3,4096,1708,3530,35,0,35,0
27,2959,933,2179,31,0,31,0
28,-81,46,5225,40,70,110,70
574,962,727,4686,39,0,39,70
-64,4851,159,3879,36,0,36,70
-99,1648,1245,3462,35,0,35,70
547,4316,2563,4867,39,0,39,70
-96,3812,926,2826,33,0,33,70
134,2173,24,3083,34,0,34,70
-3,7,1927,5551,41,0,41,70
541,915,1809,5115,40,0,40,70
550,3490,2467,3972,36,0,36,70
591,316,254,5351,41,20,61,90
587,2489,1802,3583,35,0,35,90
564,4722,1670,4696,39,0,39,90
470,-91,1050,5704,42,0,42,90
-81,1361,556,3618,35,0,35,90
-60,1921,2147,3724,36,0,36,90
-73,2473,1478,2764,33,0,33,90
-24,4491,1067,3615,35,0,35,90
595,2925,1241,2878,33,0,33,90
120,523,2334,5432,41,0,41,90
586,913,43,4790,39,0,39,90
167,3453,436,2681,33,0,33,90
573,322,1596,5621,41,0,41,90
548,3937,1088,3639,35,0,35,90
-10,399,515,4651,38,0,38,90
514,1564,406,4012,37,0,37,90
-9,2479,640,2577,32,0,32,90
-74,3110,2724,3164,34,0,34,90
504,4717,178,4309,37,0,37,90
-77,2348,2580,3592,35,0,35,90
325,1060,1248,4475,38,0,38,90
548,2620,412,2990,33,0,33,90
-33,3088,1569,2411,32,0,32,90
3,4322,594,3387,35,0,35,90
494,4721,2226,4974,39,0,39,90
337,3774,2053,3753,36,0,36,90
406,1564,1093,3998,36,0,36,90
-81,149,2641,5834,42,0,42,90
432,2963,2238,3236,34,0,34,90
-46,4652,1724,4046,37,0,37,90
323,1650,2465,4604,38,0,38,90
