mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
60.93,12.184,38.298,84.349,0.134,0.095,8239.0,7716.0,1.0
59.617,12.479,35.799,83.321,0.145,0.099,7421.0,8040.0,1.0
60.886,12.13,36.93,82.844,0.143,0.099,7233.0,7549.0,1.0
55.254,12.208,32.054,77.909,0.137,0.098,7979.0,7808.0,1.0
56.277,12.107,34.628,79.993,0.138,0.099,7696.0,7192.0,1.0
49.473,12.292,27.163,73.115,0.145,0.099,7143.0,7625.0,1.0
49.242,12.316,24.834,71.115,0.141,0.103,7605.0,7172.0,1.0
42.396,12.324,19.692,65.29,0.138,0.096,7959.0,7382.0,1.0
58.814,12.34,35.27,81.671,0.139,0.099,7812.0,7732.0,1.0
49.206,12.372,26.485,72.611,0.141,0.099,7711.0,6694.0,1.0
63.238,12.654,39.421,86.804,0.141,0.107,8021.0,7551.0,1.0
57.662,12.138,35.312,80.893,0.136,0.097,7982.0,7763.0,1.0
58.611,12.319,35.427,81.716,0.137,0.1,8120.0,7721.0,1.0
56.517,12.177,34.441,79.936,0.134,0.098,8300.0,7969.0,1.0
56.628,12.141,33.57,78.819,0.132,0.097,8417.0,8142.0,1.0
56.402,12.144,33.166,79.176,0.133,0.095,8309.0,8144.0,1.0
56.366,12.31,32.976,78.824,0.141,0.099,7586.0,7484.0,1.0
57.583,12.369,33.332,80.067,0.141,0.099,7681.0,7851.0,1.0
57.834,12.443,34.744,81.299,0.138,0.101,8098.0,7969.0,1.0
57.453,12.084,34.388,79.594,0.14,0.1,7442.0,7808.0,1.0
60.154,12.732,35.833,83.369,0.142,0.1,8019.0,7996.0,1.0
60.638,12.654,37.272,84.33,0.139,0.101,8342.0,7607.0,1.0
59.732,12.462,36.088,82.873,0.147,0.097,7228.0,7648.0,1.0
61.19,12.304,37.284,83.398,0.15,0.096,6723.0,7148.0,1.0
57.328,12.194,33.852,79.808,0.134,0.099,8219.0,7451.0,1.0
58.826,12.261,34.591,80.273,0.142,0.094,7447.0,7407.0,1.0
61.912,12.21,38.844,84.248,0.138,0.096,7783.0,7673.0,1.0
56.595,12.382,33.363,79.549,0.139,0.096,7939.0,7949.0,1.0
60.744,12.269,37.897,83.9,0.136,0.099,8183.0,7447.0,1.0
56.466,12.274,33.27,78.896,0.137,0.098,8011.0,7772.0,1.0
60.188,12.446,37.102,83.756,0.139,0.097,8011.0,7843.0,1.0
57.455,12.241,34.488,80.507,0.135,0.097,8183.0,7938.0,1.0
57.263,12.245,34.028,80.371,0.138,0.099,7823.0,7660.0,1.0
57.479,12.329,35.125,81.171,0.137,0.095,8136.0,8099.0,1.0
59.808,12.668,35.414,82.967,0.144,0.101,7740.0,7768.0,1.0
58.498,12.275,35.737,81.552,0.136,0.1,8114.0,7809.0,1.0
57.554,11.967,34.824,79.718,0.135,0.097,7910.0,7461.0,1.0
58.513,12.275,36.194,82.571,0.136,0.095,8097.0,8130.0,1.0
61.141,12.341,38.145,84.197,0.139,0.098,7928.0,8053.0,1.0
61.324,12.188,38.035,83.491,0.134,0.096,8277.0,7588.0,1.0
57.307,12.185,35.392,80.842,0.137,0.099,7946.0,7645.0,1.0
61.03,12.302,37.516,83.782,0.138,0.097,7908.0,7916.0,1.0
62.199,12.271,39.971,85.528,0.137,0.099,7981.0,7765.0,1.0
57.337,12.314,33.091,78.909,0.139,0.095,7900.0,8001.0,1.0
57.361,12.271,33.973,79.523,0.137,0.097,7978.0,7730.0,1.0
60.653,12.196,38.184,83.764,0.136,0.093,8000.0,7411.0,1.0
56.61,12.231,34.057,79.777,0.135,0.1,8221.0,7886.0,1.0
42.193,12.512,18.885,65.703,0.141,0.101,7834.0,7890.0,1.0
59.718,12.222,36.281,82.28,0.145,0.098,7123.0,7751.0,1.0
61.271,12.211,38.502,84.196,0.137,0.1,7996.0,7891.0,1.0
48.989,12.32,26.19,72.113,0.141,0.099,7618.0,7966.0,1.0
58.844,12.181,35.911,81.695,0.135,0.1,8181.0,7959.0,1.0
59.464,12.31,37.426,83.09,0.144,0.098,7323.0,7712.0,1.0
59.522,12.299,36.634,82.694,0.144,0.097,7280.0,7905.0,1.0
56.754,12.171,35.019,80.241,0.137,0.093,7873.0,8186.0,1.0
63.321,12.667,39.455,86.623,0.14,0.103,8205.0,7540.0,1.0
61.089,12.273,37.939,84.637,0.143,0.098,7413.0,7672.0,1.0
61.36,12.211,38.683,84.27,0.143,0.098,7317.0,7387.0,1.0
49.216,12.115,26.195,71.739,0.145,0.094,6890.0,7649.0,1.0
49.012,12.266,27.09,72.993,0.138,0.096,7930.0,7412.0,1.0
59.968,12.744,35.535,83.583,0.14,0.101,8341.0,8068.0,1.0
42.335,12.26,20.937,67.429,0.138,0.1,7907.0,7958.0,1.0
44.629,12.563,18.939,66.887,0.145,0.099,7460.0,7848.0,1.0
54.979,12.287,30.533,76.725,0.136,0.094,8126.0,8014.0,1.0
60.859,12.247,37.904,83.703,0.134,0.096,8342.0,7968.0,1.0
60.127,12.523,36.035,83.157,0.14,0.099,8012.0,7213.0,1.0
