mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
41.771,3.455,35.242,48.202,0.041,0.023,7001.0,11460.0,1.01
40.866,3.437,34.406,47.244,0.038,0.023,8037.0,11758.0,1.01
39.255,3.419,32.906,45.636,0.037,0.022,8372.0,11516.0,1.01
35.612,3.4,28.961,41.797,0.032,0.022,11208.0,11030.0,1.0
33.151,3.394,26.681,39.344,0.031,0.022,12229.0,12000.0,1.0
32.91,3.415,26.299,39.063,0.031,0.022,12136.0,11616.0,1.0
32.947,3.453,26.438,39.411,0.032,0.023,11506.0,11066.0,1.0
33.221,3.428,26.755,39.59,0.032,0.022,11344.0,11931.0,1.0
33.763,3.408,27.311,40.043,0.031,0.022,11959.0,11604.0,1.0
34.562,3.421,28.148,40.974,0.032,0.022,11380.0,11842.0,1.0
40.524,3.445,34.192,47.177,0.036,0.022,9364.0,10954.0,1.0
40.981,3.454,34.486,47.476,0.041,0.023,7133.0,11327.0,1.01
40.726,3.417,34.367,47.192,0.049,0.022,4977.0,11845.0,1.01
41.175,3.428,34.849,47.644,0.075,0.022,2184.0,11286.0,1.01
41.722,3.431,35.289,48.08,0.045,0.023,5887.0,10072.0,1.01
42.432,3.431,35.85,48.804,0.081,0.023,1850.0,11440.0,1.01
43.236,3.419,36.843,49.601,0.086,0.023,1547.0,10704.0,1.01
44.133,3.441,37.669,50.589,0.137,0.022,640.0,10094.0,1.01
45.124,3.451,38.718,51.586,0.188,0.023,335.0,11597.0,1.01
46.135,3.423,39.601,52.475,0.174,0.022,383.0,10593.0,1.01
48.329,3.465,41.847,54.837,0.158,0.022,482.0,11633.0,1.01
49.585,3.472,43.231,56.326,0.148,0.022,546.0,11133.0,1.01
52.657,3.53,46.204,59.466,0.234,0.022,226.0,11281.0,1.02
41.139,3.458,34.179,47.224,0.041,0.022,7111.0,11953.0,1.01
40.445,3.445,34.139,47.046,0.04,0.022,7598.0,11611.0,1.01
39.427,3.392,33.022,45.782,0.035,0.022,9473.0,11296.0,1.01
39.532,3.474,32.964,45.872,0.035,0.023,10038.0,11626.0,1.01
39.744,3.435,33.388,46.243,0.034,0.022,10403.0,11461.0,1.01
40.094,3.427,33.837,46.806,0.037,0.023,8448.0,11577.0,1.01
40.711,3.441,34.126,47.167,0.057,0.022,3151.0,11562.0,1.01
41.314,3.474,34.984,48.157,0.077,0.023,1919.0,10763.0,1.01
42.025,3.405,35.307,48.009,0.045,0.022,6608.0,11485.0,1.01
42.929,3.48,36.616,49.863,0.135,0.023,682.0,10516.0,1.01
44.996,3.429,38.33,51.293,0.041,0.022,7130.0,11195.0,1.01
46.123,3.476,39.911,53.095,0.203,0.023,294.0,11060.0,1.01
47.256,3.457,40.552,53.634,0.231,0.022,224.0,10364.0,1.02
48.482,3.435,42.022,54.949,0.144,0.022,570.0,11289.0,1.01
49.728,3.476,43.02,56.059,0.221,0.023,248.0,9824.0,1.02
38.471,3.42,32.038,44.796,0.035,0.021,9609.0,11533.0,1.01
36.257,3.426,29.897,42.696,0.033,0.022,10868.0,11807.0,1.0
35.027,3.402,28.877,41.661,0.031,0.022,12296.0,11166.0,1.0
33.828,3.407,27.43,40.201,0.032,0.023,11438.0,11057.0,1.0
32.739,3.467,26.423,39.244,0.032,0.023,11487.0,11387.0,1.0
31.898,3.426,25.776,38.575,0.032,0.022,11393.0,12025.0,1.0
31.293,3.373,25.045,37.706,0.032,0.022,11164.0,11393.0,1.0
31.088,3.394,24.922,37.741,0.031,0.022,11671.0,11194.0,1.0
31.347,3.372,25.196,37.802,0.031,0.022,11591.0,11609.0,1.0
31.837,3.437,25.402,38.312,0.031,0.023,11901.0,11366.0,1.0
32.682,3.409,26.123,38.975,0.033,0.022,10480.0,11565.0,1.0
33.82,3.445,27.418,40.29,0.034,0.022,10297.0,11109.0,1.0
34.951,3.41,28.717,41.484,0.031,0.022,11873.0,11102.0,1.0
36.183,3.413,29.824,42.459,0.036,0.022,9001.0,11252.0,1.01
37.532,3.432,31.221,44.004,0.035,0.022,9899.0,11296.0,1.0
38.957,3.439,32.585,45.452,0.032,0.022,11746.0,11733.0,1.01
40.5,3.411,34.0,46.788,0.081,0.022,1645.0,10884.0,1.01
38.702,3.409,32.161,44.981,0.031,0.023,11750.0,11462.0,1.0
37.55,3.462,31.334,44.284,0.032,0.022,11838.0,11861.0,1.0
36.095,3.394,29.773,42.486,0.034,0.022,9756.0,11882.0,1.0
34.671,3.431,28.077,40.955,0.034,0.022,10417.0,11674.0,1.0
33.194,3.432,26.553,39.3,0.031,0.022,12308.0,11587.0,1.0
31.982,3.445,25.208,38.243,0.032,0.022,11944.0,11685.0,1.0
29.993,3.361,23.566,36.132,0.031,0.022,11738.0,11791.0,1.0
29.89,3.416,23.494,36.3,0.031,0.022,12030.0,11560.0,1.0
36.049,3.416,29.608,42.341,0.032,0.022,11098.0,11228.0,1.0
