id,type_brick,type,start_to_verif,verif_to_dest,dest_to_end,total_time
119,BASIC,1,8,16,33,57
23,BASIC,1,8,21,18,47
47,BASIC,1,8,16,22,46
111,BASIC,1,6,16,14,36
41,BASIC,1,7,18,16,41
73,BASIC,1,7,17,14,38
104,CORNER,2,7,14,17,38
128,BASIC,1,11,8,14,33
115,BASIC,1,10,16,26,52
101,BASIC,1,6,17,13,36
93,BASIC,1,5,14,17,36
133,BASIC,1,11,7,21,39
78,BASIC,1,7,11,14,32
113,BASIC,1,8,14,16,38
48,BASIC,1,8,17,28,53
59,BASIC,1,7,13,23,43
68,BASIC,1,10,11,15,36
95,BASIC,1,7,17,15,39
2,HALF,3,3,17,16,36
53,END,4,16,15,7,38
54,BASIC,1,17,15,6,38
62,BASIC,1,5,13,14,32
42,BASIC,1,10,18,16,44
43,BASIC,1,8,22,22,52
90,BASIC,1,13,16,17,46
91,BASIC,1,12,14,14,40
29,BASIC,1,6,19,21,46
121,END,4,10,10,17,37
108,BASIC,1,10,14,13,37
58,BASIC,1,16,13,17,46
117,BASIC,1,7,17,15,39
136,BASIC,1,17,6,9,32
105,HALF,3,17,18,13,48
1,CORNER,2,6,17,18,41
120,END,4,5,25,10,40
122,BASIC,1,7,12,16,35
71,HALF,3,5,15,36,56
124,BASIC,1,9,11,12,32
4,BASIC,1,6,14,17,37
107,BASIC,1,5,16,11,32
67,BASIC,1,8,12,16,36
38,BASIC,1,6,15,21,42
96,BASIC,1,6,18,18,42
109,BASIC,1,8,15,13,36
10,BASIC,1,8,14,12,34
25,BASIC,1,5,20,19,44
116,BASIC,1,8,18,28,54
110,BASIC,1,10,12,14,36
98,BASIC,1,7,21,14,42
65,BASIC,1,6,13,15,34
14,BASIC,1,8,12,14,34
13,BASIC,1,10,10,27,47
55,BASIC,1,21,12,10,43
63,BASIC,1,6,12,18,36
11,BASIC,1,8,12,14,34
118,BASIC,1,8,17,16,41
86,BASIC,1,6,11,18,35
99,BASIC,1,8,15,16,39
76,BASIC,1,2,14,38,54
123,BASIC,1,14,13,14,41
32,BASIC,1,8,17,27,52
60,BASIC,1,9,11,17,37
45,BASIC,1,6,19,18,43
24,BASIC,1,9,17,18,44
30,BASIC,1,8,14,24,46
66,BASIC,1,7,13,27,47
49,BASIC,1,6,18,23,47
102,BASIC,1,8,17,32,57
94,BASIC,1,10,13,16,39
56,BASIC,1,19,10,9,38
44,BASIC,1,6,18,22,46
33,BASIC,1,8,17,24,49
57,BASIC,1,19,11,9,39
129,BASIC,1,10,10,13,33
125,BASIC,1,8,11,13,32
103,HALF,3,6,21,10,37
75,BASIC,1,5,15,14,34
26,BASIC,1,5,21,18,44
27,BASIC,1,8,18,18,44
81,BASIC,1,9,11,13,33
100,BASIC,1,8,18,14,40
70,CORNER,2,14,16,15,45
19,BASIC,1,10,10,36,56
39,BASIC,1,9,14,16,39
