ID,TYPE,ROTATION,X,Y,Z,LAYER,PALLET,DIST
1,2,90,220,95,0,1,1,2630.885972
2,3,90,220,252.5,0,1,1,2305.11003
3,1,90,220,440,0,1,1,3883.37495
4,1,90,220,690,0,1,2,3499.571545
5,1,90,220,940,0,1,3,3130.591158
6,1,90,220,1190,0,1,4,3986.552521
7,1,90,220,1440,0,1,5,3613.723979
8,1,90,220,1690,0,1,6,3257.698728
9,1,90,220,1940,0,1,7,4102.389669
10,1,90,220,2190,0,1,8,3741.12296
11,1,90,220,2440,0,1,9,3398.470391
12,1,90,220,2690,0,1,10,4229.846451
13,1,90,220,2940,0,1,11,3880.464019
14,1,90,220,3190,0,1,12,3551.2816
15,1,90,220,3440,0,1,13,3883.37495
16,1,90,220,3690,0,1,14,3499.571545
17,1,90,220,3940,0,1,15,3130.591158
18,1,90,220,4190,0,1,16,3986.552521
19,1,90,220,4440,0,1,17,3613.723979
20,1,90,220,4690,0,1,18,3257.698728
21,4,0,565,220,0,1,1,2090.59824
22,1,0,815,220,0,1,19,4102.389669
23,1,0,1065,220,0,1,20,3741.12296
24,1,0,1315,220,0,1,21,3398.470391
25,1,0,1565,220,0,1,22,4229.846451
26,1,0,1815,220,0,1,23,3880.464019
27,1,0,2065,220,0,1,24,3551.2816
28,1,0,2315,220,0,1,25,3883.37495
29,1,0,2565,220,0,1,26,3499.571545
30,1,0,2815,220,0,1,27,3130.591158
31,1,0,3065,220,0,1,28,3986.552521
32,1,0,3315,220,0,1,29,3613.723979
33,1,0,3565,220,0,1,30,3257.698728
34,1,0,3815,220,0,1,31,4102.389669
35,3,180,4002.5,220,0,1,2,2385.012002
36,2,180,95,220,250,2,2,2741.510715
37,3,0,252.5,220,250,2,3,2468.660011
38,1,180,440,220,250,2,32,3741.12296
39,1,180,690,220,250,2,33,3398.470391
40,1,180,940,220,250,2,34,4229.846451
41,1,180,1190,220,250,2,35,3880.464019
42,1,180,1440,220,250,2,36,3551.2816
43,1,180,1690,220,250,2,37,3883.37495
44,1,180,1940,220,250,2,38,3499.571545
45,1,180,2190,220,250,2,39,3130.591158
46,1,180,2440,220,250,2,40,3986.552521
47,1,180,2690,220,250,2,41,3613.723979
48,1,180,2940,220,250,2,42,3257.698728
49,1,180,3190,220,250,2,43,4102.389669
50,1,180,3440,220,250,2,44,3741.12296
51,1,180,3690,220,250,2,45,3398.470391
52,4,180,3940,220,250,2,2,2276.532671
53,4,90,220,565,250,2,3,2473.782731
54,1,90,220,815,250,2,46,4229.846451
55,1,90,220,1065,250,2,47,3880.464019
56,1,90,220,1315,250,2,48,3551.2816
57,1,90,220,1565,250,2,49,3883.37495
58,1,90,220,1815,250,2,50,3499.571545
59,1,90,220,2065,250,2,51,3130.591158
60,1,90,220,2315,250,2,52,3986.552521
61,1,90,220,2565,250,2,53,3613.723979
62,1,90,220,2815,250,2,54,3257.698728
63,1,90,220,3065,250,2,55,4102.389669
64,1,90,220,3315,250,2,56,3741.12296
65,1,90,220,3565,250,2,57,3398.470391
66,1,90,220,3815,250,2,58,4229.846451
67,1,90,220,4065,250,2,59,3880.464019
68,1,90,220,4315,250,2,60,3551.2816
69,1,90,220,4565,250,2,61,3883.37495
70,2,90,220,95,500,3,3,2860.489643
71,3,90,220,252.5,500,3,4,2555.686258
72,1,90,220,440,500,3,62,3499.571545
73,1,90,220,690,500,3,63,3130.591158
74,1,90,220,940,500,3,64,3986.552521
75,1,90,220,1190,500,3,65,3613.723979
76,1,90,220,1440,500,3,66,3257.698728
77,1,90,220,1690,500,3,67,4102.389669
78,1,90,220,1940,500,3,68,3741.12296
79,1,90,220,2190,500,3,69,3398.470391
80,1,90,220,2440,500,3,70,4229.846451
81,1,90,220,2690,500,3,71,3880.464019
82,1,90,220,2940,500,3,72,3551.2816
83,1,90,220,3190,500,3,73,3883.37495
84,1,90,220,3440,500,3,74,3499.571545
85,1,90,220,3690,500,3,75,3130.591158
86,1,90,220,3940,500,3,76,3986.552521
87,1,90,220,4190,500,3,77,3613.723979
88,1,90,220,4440,500,3,78,3257.698728
89,4,0,565,220,500,3,4,2679.850929
90,1,0,815,220,500,3,79,4102.389669
91,1,0,1065,220,500,3,80,3741.12296
92,1,0,1315,220,500,3,81,3398.470391
93,1,0,1565,220,500,3,82,4229.846451
94,1,0,1815,220,500,3,83,3880.464019
95,1,0,2065,220,500,3,84,3551.2816
96,1,0,2315,220,500,3,85,3883.37495
97,1,0,2565,220,500,3,86,3499.571545
98,1,0,2815,220,500,3,87,3130.591158
99,1,0,3065,220,500,3,88,3986.552521
100,1,0,3315,220,500,3,89,3613.723979
101,1,0,3565,220,500,3,90,3257.698728
102,1,0,3815,220,500,3,91,4102.389669
103,3,180,4002.5,220,500,3,5,2645.757406
104,2,180,95,220,750,4,4,2986.824568
105,3,0,252.5,220,750,4,6,2305.11003
106,1,180,440,220,750,4,92,3741.12296
107,1,180,690,220,750,4,93,3398.470391
108,1,180,940,220,750,4,94,4229.846451
109,1,180,1190,220,750,4,95,3880.464019
110,1,180,1440,220,750,4,96,3551.2816
111,1,180,1690,220,750,4,97,3883.37495
112,1,180,1940,220,750,4,98,3499.571545
113,1,180,2190,220,750,4,99,3130.591158
114,1,180,2440,220,750,4,100,3986.552521
115,1,180,2690,220,750,4,101,3613.723979
116,1,180,2940,220,750,4,102,3257.698728
117,1,180,3190,220,750,4,103,4102.389669
118,1,180,3440,220,750,4,104,3741.12296
119,1,180,3690,220,750,4,105,3398.470391
120,4,180,3940,220,750,4,5,2090.59824
121,4,90,220,565,750,4,6,2276.532671
122,1,90,220,815,750,4,106,4229.846451
123,1,90,220,1065,750,4,107,3880.464019
124,1,90,220,1315,750,4,108,3551.2816
125,1,90,220,1565,750,4,109,3883.37495
126,1,90,220,1815,750,4,110,3499.571545
127,1,90,220,2065,750,4,111,3130.591158
128,1,90,220,2315,750,4,112,3986.552521
129,1,90,220,2565,750,4,113,3613.723979
130,1,90,220,2815,750,4,114,3257.698728
131,1,90,220,3065,750,4,115,4102.389669
132,1,90,220,3315,750,4,116,3741.12296
133,1,90,220,3565,750,4,117,3398.470391
134,1,90,220,3815,750,4,118,4229.846451
135,1,90,220,4065,750,4,119,3880.464019
136,1,90,220,4315,750,4,120,3551.2816
137,2,90,220,95,1000,5,5,3119.621932
138,3,90,220,252.5,1000,5,7,2385.012002
139,1,90,220,440,1000,5,121,3883.37495
140,1,90,220,690,1000,5,122,3499.571545
141,4,270,220,940,1000,5,7,2473.782731
142,4,90,220,3190,1000,5,8,2679.850929
143,1,90,220,3440,1000,5,123,3130.591158
144,1,90,220,3690,1000,5,124,3986.552521
145,1,90,220,3940,1000,5,125,3613.723979
146,1,90,220,4190,1000,5,126,3257.698728
147,4,0,565,220,1000,5,9,2090.59824
148,1,0,815,220,1000,5,127,4102.389669
149,1,0,1065,220,1000,5,128,3741.12296
150,1,0,1315,220,1000,5,129,3398.470391
151,1,0,1565,220,1000,5,130,4229.846451
152,1,0,1815,220,1000,5,131,3880.464019
153,1,0,2065,220,1000,5,132,3551.2816
154,1,0,2315,220,1000,5,133,3883.37495
155,1,0,2565,220,1000,5,134,3499.571545
156,1,0,2815,220,1000,5,135,3130.591158
157,1,0,3065,220,1000,5,136,3986.552521
158,1,0,3315,220,1000,5,137,3613.723979
159,1,0,3565,220,1000,5,138,3257.698728
160,1,0,3815,220,1000,5,139,4102.389669
161,3,180,4002.5,220,1000,5,8,2468.660011
162,2,180,95,220,1250,6,6,2630.885972
163,3,0,252.5,220,1250,6,9,2555.686258
164,1,180,440,220,1250,6,140,3741.12296
165,1,180,690,220,1250,6,141,3398.470391
166,1,180,940,220,1250,6,142,4229.846451
167,1,180,1190,220,1250,6,143,3880.464019
168,1,180,1440,220,1250,6,144,3551.2816
169,1,180,1690,220,1250,6,145,3883.37495
170,1,180,1940,220,1250,6,146,3499.571545
171,1,180,2190,220,1250,6,147,3130.591158
172,1,180,2440,220,1250,6,148,3986.552521
173,1,180,2690,220,1250,6,149,3613.723979
174,1,180,2940,220,1250,6,150,3257.698728
175,1,180,3190,220,1250,6,151,4102.389669
176,1,180,3440,220,1250,6,152,3741.12296
177,1,180,3690,220,1250,6,153,3398.470391
178,4,180,3940,220,1250,6,10,2276.532671
179,4,90,220,565,1250,6,11,2473.782731
180,1,90,220,815,1250,6,154,4229.846451
181,3,270,220,1002.5,1250,6,10,2645.757406
182,3,90,220,3127.5,1250,6,11,2305.11003
183,1,90,220,3315,1250,6,155,3880.464019
184,1,90,220,3565,1250,6,156,3551.2816
185,1,90,220,3815,1250,6,157,3883.37495
186,1,90,220,4065,1250,6,158,3499.571545
187,2,90,220,95,1500,7,7,2741.510715
188,3,90,220,252.5,1500,7,12,2385.012002
189,1,90,220,440,1500,7,159,3130.591158
190,1,90,220,690,1500,7,160,3986.552521
191,4,270,220,940,1500,7,12,2679.850929
192,4,90,220,3190,1500,7,13,2090.59824
193,1,90,220,3440,1500,7,161,3613.723979
194,1,90,220,3690,1500,7,162,3257.698728
195,1,90,220,3940,1500,7,163,4102.389669
196,4,0,565,220,1500,7,14,2276.532671
197,1,0,815,220,1500,7,164,3741.12296
198,1,0,1065,220,1500,7,165,3398.470391
199,1,0,1315,220,1500,7,166,4229.846451
200,1,0,1565,220,1500,7,167,3880.464019
201,1,0,1815,220,1500,7,168,3551.2816
202,1,0,2065,220,1500,7,169,3883.37495
203,1,0,2315,220,1500,7,170,3499.571545
204,1,0,2565,220,1500,7,171,3130.591158
205,1,0,2815,220,1500,7,172,3986.552521
206,1,0,3065,220,1500,7,173,3613.723979
207,1,0,3315,220,1500,7,174,3257.698728
208,1,0,3565,220,1500,7,175,4102.389669
209,1,0,3815,220,1500,7,176,3741.12296
210,3,180,4002.5,220,1500,7,13,2468.660011
211,2,180,95,220,1750,8,8,2860.489643
212,3,0,252.5,220,1750,8,14,2555.686258
213,1,180,440,220,1750,8,177,3398.470391
214,1,180,690,220,1750,8,178,4229.846451
215,1,180,940,220,1750,8,179,3880.464019
216,1,180,1190,220,1750,8,180,3551.2816
217,1,180,1440,220,1750,8,181,3883.37495
218,1,180,1690,220,1750,8,182,3499.571545
219,1,180,1940,220,1750,8,183,3130.591158
220,1,180,2190,220,1750,8,184,3986.552521
221,1,180,2440,220,1750,8,185,3613.723979
222,1,180,2690,220,1750,8,186,3257.698728
223,1,180,2940,220,1750,8,187,4102.389669
224,1,180,3190,220,1750,8,188,3741.12296
225,1,180,3440,220,1750,8,189,3398.470391
226,1,180,3690,220,1750,8,190,4229.846451
227,4,180,3940,220,1750,8,15,2473.782731
228,4,90,220,565,1750,8,16,2679.850929
229,1,90,220,815,1750,8,191,3880.464019
230,3,270,220,1002.5,1750,8,15,2645.757406
231,3,90,220,3127.5,1750,8,16,2305.11003
232,1,90,220,3315,1750,8,192,3551.2816
233,1,90,220,3565,1750,8,193,3883.37495
234,1,90,220,3815,1750,8,194,3499.571545
235,2,90,220,95,2000,9,9,2986.824568
236,3,90,220,252.5,2000,9,17,2385.012002
237,1,90,220,440,2000,9,195,3130.591158
