ID,TYPE,ROTATION,X,Y,Z,LAYER,PALLET,DIST
1,2,90,220,95,0,1,1,2731.367057
2,3,90,220,252.5,0,1,1,2596.795573
3,1,90,220,440,0,1,1,2440.17233
4,1,90,220,690,0,1,2,2350.74903
5,1,90,220,940,0,1,3,2082.200999
6,1,90,220,1190,0,1,4,1804.15659
7,1,90,220,1440,0,1,5,1658.457416
8,1,90,220,1690,0,1,6,1539.799013
9,1,90,220,1940,0,1,7,1454.813046
10,1,90,220,2190,0,1,8,1409.603136
11,1,90,220,2440,0,1,9,1408.006037
12,1,90,220,2690,0,1,10,1450.165853
13,1,90,220,2940,0,1,11,1532.475448
14,1,90,220,3190,0,1,12,1648.933292
15,1,90,220,3440,0,1,13,1792.897376
16,1,90,220,3690,0,1,14,1958.310752
17,1,90,220,3940,0,1,15,2140.205831
18,1,90,220,4190,0,1,16,2334.733604
19,1,90,220,4440,0,1,17,2538.992123
20,1,90,220,4690,0,1,18,2750.814607
21,4,0,565,220,0,1,1,2626.786249
22,1,0,815,220,0,1,19,2533.113894
23,1,0,1065,220,0,1,20,2576.172743
24,1,0,1315,220,0,1,21,2642.284239
25,1,0,1565,220,0,1,22,2729.773983
26,1,0,1815,220,0,1,23,2836.664591
27,1,0,2065,220,0,1,24,2960.85562
28,1,0,2315,220,0,1,25,3100.268698
29,1,0,2565,220,0,1,26,3252.947279
30,1,0,2815,220,0,1,27,3417.113694
31,1,0,3065,220,0,1,28,3591.192838
32,1,0,3315,220,0,1,29,3773.813191
33,1,0,3565,220,0,1,30,3963.794394
34,1,0,3815,220,0,1,31,4160.128123
35,3,180,4002.5,220,0,1,2,4439.467001
36,2,180,95,220,250,2,2,2642.042013
37,3,0,252.5,220,250,2,3,2525.475648
38,1,180,440,220,250,2,32,2386.638012
39,1,180,690,220,250,2,33,2393.437068
40,1,180,940,220,250,2,34,2426.116444
41,1,180,1190,220,250,2,35,2483.654767
42,1,180,1440,220,250,2,36,2564.379262
43,1,180,1690,220,250,2,37,2666.184727
44,1,180,1940,220,250,2,38,2786.761741
45,1,180,2190,220,250,2,39,2923.788809
46,1,180,2440,220,250,2,40,3075.067642
47,1,180,2690,220,250,2,41,3238.601704
48,1,180,2940,220,250,2,42,3412.629631
49,1,180,3190,220,250,2,43,3595.62804
50,1,180,3440,220,250,2,44,3786.296475
51,1,180,3690,220,250,2,45,3983.533733
52,4,180,3940,220,250,2,2,4318.560061
53,4,90,220,565,250,2,3,2232.417076
54,1,90,220,815,250,2,46,1902.920387
55,1,90,220,1065,250,2,47,1711.463117
56,1,90,220,1315,250,2,48,1536.914441
57,1,90,220,1565,250,2,49,1385.678895
58,1,90,220,1815,250,2,50,1266.138223
59,1,90,220,2065,250,2,51,1187.899827
60,1,90,220,2315,250,2,52,1159.355856
61,1,90,220,2565,250,2,53,1184.10557
62,1,90,220,2815,250,2,54,1259.009928
63,1,90,220,3065,250,2,55,1375.901886
64,1,90,220,3315,250,2,56,1525.157697
65,1,90,220,3565,250,2,57,1698.265586
66,1,90,220,3815,250,2,58,1888.678374
67,1,90,220,4065,250,2,59,2091.675405
68,1,90,220,4315,250,2,60,2303.932725
69,1,90,220,4565,250,2,61,2523.114345
70,2,90,220,95,500,3,3,2544.894104
71,3,90,220,252.5,500,3,4,2266.084122
72,1,90,220,440,500,3,62,2096.063215
73,1,90,220,690,500,3,63,1874.561549
74,1,90,220,940,500,3,64,1661.168565
75,1,90,220,1190,500,3,65,1459.445443
76,1,90,220,1440,500,3,66,1274.943528
77,1,90,220,1690,500,3,67,1116.23519
78,1,90,220,1940,500,3,68,995.731389
79,1,90,220,2190,500,3,69,928.429319
80,1,90,220,2440,500,3,70,926.0027
81,1,90,220,2690,500,3,71,988.929219
82,1,90,220,2940,500,3,72,1106.110754
83,1,90,220,3190,500,3,73,1262.529604
84,1,90,220,3440,500,3,74,1445.503718
85,1,90,220,3690,500,3,75,1646.201992
86,1,90,220,3940,500,3,76,1858.892412
87,1,90,220,4190,500,3,77,2079.899276
88,1,90,220,4440,500,3,78,2306.833544
89,4,0,565,220,500,3,4,2279.619705
90,1,0,815,220,500,3,79,2300.362145
91,1,0,1065,220,500,3,80,2347.693762
92,1,0,1315,220,500,3,81,2420.054958
93,1,0,1565,220,500,3,82,2515.286465
94,1,0,1815,220,500,3,83,2630.905928
95,1,0,2065,220,500,3,84,2764.356345
96,1,0,2315,220,500,3,85,2913.188288
97,1,0,2565,220,500,3,86,3075.169264
98,1,0,2815,220,500,3,87,3248.332803
99,1,0,3065,220,500,3,88,3430.986156
100,1,0,3315,220,500,3,89,3621.693803
101,1,0,3565,220,500,3,90,3819.249403
102,1,0,3815,220,500,3,91,4022.644155
103,3,180,4002.5,220,500,3,5,4178.510171
104,2,180,95,220,750,4,4,2231.919801
105,3,0,252.5,220,750,4,6,2208.77732
106,1,180,440,220,750,4,92,2195.686908
107,1,180,690,220,750,4,93,2203.075351
108,1,180,940,220,750,4,94,2238.535459
109,1,180,1190,220,750,4,95,2300.769654
110,1,180,1440,220,750,4,96,2387.685281
111,1,180,1690,220,750,4,97,2496.70603
112,1,180,1940,220,750,4,98,2625.079237
113,1,180,2190,220,750,4,99,2770.115702
114,1,180,2440,220,750,4,100,2929.341394
115,1,180,2690,220,750,4,101,3100.571076
116,1,180,2940,220,750,4,102,3281.926416
117,1,180,3190,220,750,4,103,3471.820992
118,1,180,3440,220,750,4,104,3668.929135
119,1,180,3690,220,750,4,105,3872.149403
120,4,180,3940,220,750,4,5,4080.56871
121,4,90,220,565,750,4,6,1887.619135
122,1,90,220,815,750,4,106,1657.137894
123,1,90,220,1065,750,4,107,1433.215266
124,1,90,220,1315,750,4,108,1219.469557
125,1,90,220,1565,750,4,109,1022.30426
126,1,90,220,1815,750,4,110,853.291275
127,1,90,220,2065,750,4,111,732.192598
128,1,90,220,2315,750,4,112,684.913133
129,1,90,220,2565,750,4,113,726.020661
130,1,90,220,2815,750,4,114,842.677874
131,1,90,220,3065,750,4,115,1009.012388
132,1,90,220,3315,750,4,116,1204.618612
133,1,90,220,3565,750,4,117,1417.429363
134,1,90,220,3815,750,4,118,1640.763847
135,1,90,220,4065,750,4,119,1870.857023
136,1,90,220,4315,750,4,120,2105.494241
137,2,90,220,95,1000,5,5,2277.600931
138,3,90,220,252.5,1000,5,7,2123.708372
139,1,90,220,440,1000,5,121,1941.257582
140,1,90,220,690,1000,5,122,1699.700268
141,4,270,220,940,1000,5,7,1460.986311
142,4,90,220,3190,1000,5,8,984.368325
143,1,90,220,3440,1000,5,123,1210.157428
144,1,90,220,3690,1000,5,124,1443.946329
145,1,90,220,3940,1000,5,125,1682.40334
146,1,90,220,4190,1000,5,126,1923.793388
147,4,0,565,220,1000,5,9,2138.145458
148,1,0,815,220,1000,5,127,2160.246745
149,1,0,1065,220,1000,5,128,2210.580467
150,1,0,1315,220,1000,5,129,2287.283542
151,1,0,1565,220,1000,5,130,2387.816157
152,1,0,1815,220,1000,5,131,2509.315843
153,1,0,2065,220,1000,5,132,2648.899017
154,1,0,2315,220,1000,5,133,2803.866259
155,1,0,2565,220,1000,5,134,2971.811905
156,1,0,2815,220,1000,5,135,3150.6612
157,1,0,3065,220,1000,5,136,3338.662307
158,1,0,3315,220,1000,5,137,3534.355104
159,1,0,3565,220,1000,5,138,3736.531279
160,1,0,3815,220,1000,5,139,3944.193961
161,3,180,4002.5,220,1000,5,8,4103.04122
162,2,180,95,220,1250,6,6,2146.267924
163,3,0,252.5,220,1250,6,9,2122.191615
164,1,180,440,220,1250,6,140,2108.563729
165,1,180,690,220,1250,6,141,2116.256364
166,1,180,940,220,1250,6,142,2153.146767
167,1,180,1190,220,1250,6,143,2217.778393
168,1,180,1440,220,1250,6,144,2307.8217
169,1,180,1690,220,1250,6,145,2420.442315
170,1,180,1940,220,1250,6,146,2552.653717
171,1,180,2190,220,1250,6,147,2701.581204
172,1,180,2440,220,1250,6,148,2864.618823
173,1,180,2690,220,1250,6,149,3039.496833
174,1,180,2940,220,1250,6,150,3224.289224
175,1,180,3190,220,1250,6,151,3417.388038
176,1,180,3440,220,1250,6,152,3617.463338
177,1,180,3690,220,1250,6,153,3823.420066
178,4,180,3940,220,1250,6,10,4034.35757
179,4,90,220,565,1250,6,11,1785.526813
180,1,90,220,815,1250,6,154,1539.839602
181,3,270,220,1002.5,1250,6,10,1356.608731
182,3,90,220,3127.5,1250,6,11,860.021657
183,1,90,220,3315,1250,6,155,1037.355291
184,1,90,220,3565,1250,6,156,1278.321556
185,1,90,220,3815,1250,6,157,1522.204323
186,1,90,220,4065,1250,6,158,1767.796934
187,2,90,220,95,1500,7,7,2249.992444
188,3,90,220,252.5,1500,7,12,2094.07193
189,1,90,220,440,1500,7,159,1908.790455
190,1,90,220,690,1500,7,160,1662.522481
191,4,270,220,940,1500,7,12,1417.561639
192,4,90,220,3190,1500,7,13,918.684385
193,1,90,220,3440,1500,7,161,1157.359495
194,1,90,220,3690,1500,7,162,1399.993214
195,1,90,220,3940,1500,7,163,1644.834642
196,4,0,565,220,1500,7,14,2108.711929
197,1,0,815,220,1500,7,164,2131.118486
198,1,0,1065,220,1500,7,165,2182.124194
199,1,0,1315,220,1500,7,166,2259.793353
200,1,0,1565,220,1500,7,167,2361.496559
201,1,0,1815,220,1500,7,168,2484.2838
202,1,0,2065,220,1500,7,169,2625.198278
203,1,0,2315,220,1500,7,170,2781.486293
204,1,0,2565,220,1500,7,171,2950.706017
205,1,0,2815,220,1500,7,172,3130.761249
206,1,0,3065,220,1500,7,173,3319.889456
207,1,0,3315,220,1500,7,174,3516.627077
208,1,0,3565,220,1500,7,175,3719.766928
209,1,0,3815,220,1500,7,176,3928.315924
210,3,180,4002.5,220,1500,7,13,4087.780235
211,2,180,95,220,1750,8,8,2175.193325
212,3,0,252.5,220,1750,8,14,2151.440738
213,1,180,440,220,1750,8,177,2137.999298
214,1,180,690,220,1750,8,178,2145.5864
215,1,180,940,220,1750,8,179,2181.980981
216,1,180,1190,220,1750,8,180,2245.782937
217,1,180,1440,220,1750,8,181,2334.746453
218,1,180,1690,220,1750,8,182,2446.127756
219,1,180,1940,220,1750,8,183,2577.021731
220,1,180,2190,220,1750,8,184,2724.617588
221,1,180,2440,220,1750,8,185,2886.354275
222,1,180,2690,220,1750,8,186,3059.990359
223,1,180,2940,220,1750,8,187,3243.615421
224,1,180,3190,220,1750,8,188,3435.628181
225,1,180,3440,220,1750,8,189,3634.699575
226,1,180,3690,220,1750,8,190,3839.731892
227,4,180,3940,220,1750,8,15,4049.819873
228,4,90,220,565,1750,8,16,1820.193946
229,1,90,220,815,1750,8,191,1579.906959
230,3,270,220,1002.5,1750,8,15,1401.922698
231,3,90,220,3127.5,1750,8,16,929.858726
232,1,90,220,3315,1750,8,192,1095.949816
233,1,90,220,3565,1750,8,193,1326.312934
234,1,90,220,3815,1750,8,194,1562.723904
235,2,90,220,95,2000,9,9,2331.837473
236,3,90,220,252.5,2000,9,17,2181.773877
237,1,90,220,440,2000,9,195,2004.614926
238,1,90,220,690,2000,9,196,1771.716964
239,4,270,220,940,2000,9,17,1544.17648
240,4,90,220,3190,2000,9,18,1104.074726
241,1,90,220,3440,2000,9,197,1309.381915
242,1,90,220,3690,2000,9,198,1528.064462
243,4,0,565,220,2000,9,19,2195.829228
244,1,0,815,220,2000,9,199,2217.355632
245,1,0,1065,220,2000,9,200,2266.421408
246,1,0,1315,220,2000,9,201,2341.295795
247,1,0,1565,220,2000,9,202,2439.603656
248,1,0,1815,220,2000,9,203,2558.645345
249,1,0,2065,220,2000,9,204,2695.675426
250,1,0,2315,220,2000,9,205,2848.098664
251,1,0,2565,220,2000,9,206,3013.580263
252,1,0,2815,220,2000,9,207,3190.088713
253,1,0,3065,220,2000,9,208,3375.894844
254,1,0,3315,220,2000,9,209,3569.54703
255,1,0,3565,220,2000,9,210,3769.836336
256,1,0,3815,220,2000,9,211,3975.759802
257,3,180,4002.5,220,2000,9,18,4133.394156
258,2,180,95,220,2250,10,10,2314.404027
259,3,0,252.5,220,2250,10,19,2292.094512
260,1,180,440,220,2250,10,212,2279.482617
261,1,180,690,220,2250,10,213,2286.600315
262,1,180,940,220,2250,10,214,2320.784566
263,1,180,1190,220,2250,10,215,2380.869799
264,1,180,1440,220,2250,10,216,2464.962677
265,1,180,1690,220,2250,10,217,2570.708268
266,1,180,1940,220,2250,10,218,2695.559497
267,1,180,2190,220,2250,10,219,2836.995065
268,1,180,2440,220,2250,10,220,2992.664532
269,1,180,2690,220,2250,10,221,3160.465314
270,1,180,2940,220,2250,10,222,3338.568705
271,1,180,3190,220,2250,10,223,3525.413593
272,1,180,3440,220,2250,10,224,3719.682917
273,1,180,3690,220,2250,10,225,3920.273077
274,4,180,3940,220,2250,10,20,4126.262352
275,4,90,220,565,2250,10,21,1984.466175
276,1,90,220,815,2250,10,226,1766.66522
277,3,270,220,1002.5,2250,10,20,1609.468002
278,3,90,220,3127.5,2250,10,21,1220.506964
279,1,90,220,3315,2250,10,227,1351.334896
280,1,90,220,3565,2250,10,228,1544.055051
281,2,90,220,95,2500,11,11,2512.462139
282,3,90,220,252.5,2500,11,22,2373.844403
283,1,90,220,440,2500,11,229,2212.12138
284,1,90,220,690,2500,11,230,2003.492201
285,1,90,220,3440,2500,11,231,1609.18644
286,4,0,565,220,2500,11,22,2386.768946
287,1,0,815,220,2500,11,232,2406.588041
288,1,0,1065,220,2500,11,233,2451.869899
289,1,0,1315,220,2500,11,234,2521.242947
290,1,0,1565,220,2500,11,235,2612.788931
291,1,0,1815,220,2500,11,236,2724.273481
292,1,0,2065,220,2500,11,237,2853.360475
293,1,0,2315,220,2500,11,238,2997.776843
294,1,0,2565,220,2500,11,239,3155.418514
295,1,0,2815,220,2500,11,240,3324.404608
296,1,0,3065,220,2500,11,241,3503.093776
297,1,0,3315,220,2500,11,242,3690.076693
298,1,0,3565,220,2500,11,243,3884.155764
299,1,0,3815,220,2500,11,244,4084.319527
