ID;TYPE;START;CAL;WALL;END
1;CORNER;13:52:18;13:52:24;13:52:42;13:52:58
2;HALF;13:52:58;13:53:02;13:53:18;13:53:36
3;BASIC;13:53:36;13:55:20;13:55:44;13:56:00
4;BASIC;13:56:00;13:56:06;13:56:20;13:56:36
5;BASIC;13:56:36;13:56:40;13:56:54;13:58:10
6;BASIC;13:58:10;13:58:16;13:58:30;13:58:46
7;BASIC;13:58:46;13:58:50;13:59:04;13:59:18
8;BASIC;13:59:18;13:59:24;13:59:38;14:00:34
9;BASIC;14:00:34;14:00:42;14:00:54;14:01:18
10;BASIC;14:01:18;14:01:24;14:01:38;14:01:52
11;BASIC;14:01:52;14:01:58;14:02:10;14:02:24
12;BASIC;14:02:24;14:02:32;14:02:44;14:02:58
13;BASIC;14:02:58;14:03:06;14:03:18;14:03:44
14;BASIC;14:03:44;14:03:52;14:04:04;14:04:18
15;BASIC;14:04:18;14:04:24;14:04:34;14:05:22
16;BASIC;14:05:22;14:05:32;14:05:46;14:06:26
17;BASIC;14:06:26;14:06:36;14:06:50;14:07:40
18;BASIC;14:07:40;14:07:52;14:08:08;14:08:48
19;BASIC;14:08:48;14:08:58;14:09:06;14:09:44
20;BASIC;14:09:44;14:09:54;14:10:52;14:10:59
21;END;13:31:19;13:31:25;13:31:43;13:32:05
22;BASIC;13:31:59;13:32:13;13:32:29;13:33:25
23;BASIC;13:33:25;13:33:33;13:33:53;13:34:11
24;BASIC;13:34:11;13:34:21;13:34:37;13:34:55
25;BASIC;13:34:55;13:35:01;13:35:19;13:35:39
26;BASIC;13:35:39;13:35:45;13:36:05;13:36:23
27;BASIC;13:36:23;13:36:29;13:36:49;13:37:07
28;BASIC;13:37:07;13:37:17;13:37:33;13:37:55
29;BASIC;13:37:55;13:38:01;13:38:19;13:38:39
30;BASIC;13:38:39;13:38:47;13:39:03;13:39:25
31;BASIC;13:39:25;13:39:31;13:39:57;13:46:39
32;BASIC;13:50:49;13:50:57;13:51:13;13:51:41
33;BASIC;13:51:41;13:51:49;13:52:07;13:52:29
34;BASIC;13:52:29;13:52:35;13:52:55;13:54:15
35;HALF;13:54:15;13:54:21;13:54:41;13:54:51
36;CORNER;13:57:27;13:57:35;13:57:49;13:58:05
37;HALF;13:58:05;13:58:11;13:58:25;13:58:49
38;BASIC;13:58:49;13:58:53;13:59:09;13:59:29
39;BASIC;13:59:29;13:59:37;13:59:53;14:00:09
40;BASIC;14:00:09;14:00:17;14:00:33;14:00:53
41;BASIC;14:00:53;14:01:01;14:01:17;14:01:35
42;BASIC;14:01:35;14:01:43;14:02:01;14:02:19
43;BASIC;14:02:19;14:02:27;14:02:49;14:03:11
44;BASIC;14:03:11;14:03:17;14:03:35;14:03:55
45;BASIC;14:03:55;14:04:01;14:04:19;14:04:39
46;BASIC;14:04:19;14:04:47;14:05:05;14:05:27
47;BASIC;14:05:27;14:05:33;14:05:51;14:06:13
48;BASIC;14:06:13;14:06:21;14:06:39;14:07:07
49;BASIC;14:07:07;14:07:13;14:07:31;14:07:55
50;BASIC;14:07:55;14:08:01;14:08:21;14:08:43
51;BASIC;14:08:43;14:08:51;14:09:11;14:09:29
52;END;14:09:29;14:09:55;14:10:19;14:11:23
53;END;14:12:43;14:12:57;14:13:13;14:13:21
54;BASIC;14:13:25;14:13:41;14:13:55;14:14:03
