id,type_brick,time_start,time_verif,time_dest,time_end,time_start_sec,time_verif_sec,time_dest_sec,time_end_sec,type,start_to_verif,verif_to_dest,dest_to_end,total_time
1,CORNER,13:52:18,13:52:24,13:52:42,13:52:58,49938,49944,49962,49978,2,6,18,16,40
2,HALF,13:52:58,13:53:02,13:53:18,13:53:36,49978,49982,49998,50016,3,4,16,18,38
4,BASIC,13:56:00,13:56:06,13:56:20,13:56:36,50160,50166,50180,50196,1,6,14,16,36
6,BASIC,13:58:10,13:58:16,13:58:30,13:58:46,50290,50296,50310,50326,1,6,14,16,36
7,BASIC,13:58:46,13:58:50,13:59:04,13:59:18,50326,50330,50344,50358,1,4,14,14,32
9,BASIC,14:00:34,14:00:42,14:00:54,14:01:18,50434,50442,50454,50478,1,8,12,24,44
10,BASIC,14:01:18,14:01:24,14:01:38,14:01:52,50478,50484,50498,50512,1,6,14,14,34
11,BASIC,14:01:52,14:01:58,14:02:10,14:02:24,50512,50518,50530,50544,1,6,12,14,32
12,BASIC,14:02:24,14:02:32,14:02:44,14:02:58,50544,50552,50564,50578,1,8,12,14,34
13,BASIC,14:02:58,14:03:06,14:03:18,14:03:44,50578,50586,50598,50624,1,8,12,26,46
14,BASIC,14:03:44,14:03:52,14:04:04,14:04:18,50624,50632,50644,50658,1,8,12,14,34
15,BASIC,14:04:18,14:04:24,14:04:34,14:05:22,50658,50664,50674,50722,1,6,10,48,64
16,BASIC,14:05:22,14:05:32,14:05:46,14:06:26,50722,50732,50746,50786,1,10,14,40,64
17,BASIC,14:06:26,14:06:36,14:06:50,14:07:40,50786,50796,50810,50860,1,10,14,50,74
18,BASIC,14:07:40,14:07:52,14:08:08,14:08:48,50860,50872,50888,50928,1,12,16,40,68
19,BASIC,14:08:48,14:08:58,14:09:06,14:09:44,50928,50938,50946,50984,1,10,8,38,56
20,BASIC,14:09:44,14:09:54,14:10:52,14:10:59,50984,50994,51052,51059,1,10,58,7,75
21,END,13:31:19,13:31:25,13:31:43,13:32:05,48679,48685,48703,48725,4,6,18,22,46
23,BASIC,13:33:25,13:33:33,13:33:53,13:34:11,48805,48813,48833,48851,1,8,20,18,46
24,BASIC,13:34:11,13:34:21,13:34:37,13:34:55,48851,48861,48877,48895,1,10,16,18,44
25,BASIC,13:34:55,13:35:01,13:35:19,13:35:39,48895,48901,48919,48939,1,6,18,20,44
26,BASIC,13:35:39,13:35:45,13:36:05,13:36:23,48939,48945,48965,48983,1,6,20,18,44
27,BASIC,13:36:23,13:36:29,13:36:49,13:37:07,48983,48989,49009,49027,1,6,20,18,44
28,BASIC,13:37:07,13:37:17,13:37:33,13:37:55,49027,49037,49053,49075,1,10,16,22,48
29,BASIC,13:37:55,13:38:01,13:38:19,13:38:39,49075,49081,49099,49119,1,6,18,20,44
30,BASIC,13:38:39,13:38:47,13:39:03,13:39:25,49119,49127,49143,49165,1,8,16,22,46
32,BASIC,13:50:49,13:50:57,13:51:13,13:51:41,49849,49857,49873,49901,1,8,16,28,52
33,BASIC,13:51:41,13:51:49,13:52:07,13:52:29,49901,49909,49927,49949,1,8,18,22,48
35,HALF,13:54:15,13:54:21,13:54:41,13:54:51,50055,50061,50081,50091,3,6,20,10,36
36,CORNER,13:57:27,13:57:35,13:57:49,13:58:05,50247,50255,50269,50285,2,8,14,16,38
37,HALF,13:58:05,13:58:11,13:58:25,13:58:49,50285,50291,50305,50329,3,6,14,24,44
38,BASIC,13:58:49,13:58:53,13:59:09,13:59:29,50329,50333,50349,50369,1,4,16,20,40
39,BASIC,13:59:29,13:59:37,13:59:53,14:00:09,50369,50377,50393,50409,1,8,16,16,40
40,BASIC,14:00:09,14:00:17,14:00:33,14:00:53,50409,50417,50433,50453,1,8,16,20,44
41,BASIC,14:00:53,14:01:01,14:01:17,14:01:35,50453,50461,50477,50495,1,8,16,18,42
42,BASIC,14:01:35,14:01:43,14:02:01,14:02:19,50495,50503,50521,50539,1,8,18,18,44
43,BASIC,14:02:19,14:02:27,14:02:49,14:03:11,50539,50547,50569,50591,1,8,22,22,52
44,BASIC,14:03:11,14:03:17,14:03:35,14:03:55,50591,50597,50615,50635,1,6,18,20,44
45,BASIC,14:03:55,14:04:01,14:04:19,14:04:39,50635,50641,50659,50679,1,6,18,20,44
46,BASIC,14:04:19,14:04:47,14:05:05,14:05:27,50659,50687,50705,50727,1,28,18,22,68
47,BASIC,14:05:27,14:05:33,14:05:51,14:06:13,50727,50733,50751,50773,1,6,18,22,46
48,BASIC,14:06:13,14:06:21,14:06:39,14:07:07,50773,50781,50799,50827,1,8,18,28,54
49,BASIC,14:07:07,14:07:13,14:07:31,14:07:55,50827,50833,50851,50875,1,6,18,24,48
50,BASIC,14:07:55,14:08:01,14:08:21,14:08:43,50875,50881,50901,50923,1,6,20,22,48
51,BASIC,14:08:43,14:08:51,14:09:11,14:09:29,50923,50931,50951,50969,1,8,20,18,46
53,END,14:12:43,14:12:57,14:13:13,14:13:21,51163,51177,51193,51201,4,14,16,8,38
54,BASIC,14:13:25,14:13:41,14:13:55,14:14:03,51205,51221,51235,51243,1,16,14,8,38
55,BASIC,14:14:03,14:14:23,14:14:37,14:14:45,51243,51263,51277,51285,1,20,14,8,42
56,BASIC,14:14:45,14:15:03,14:15:15,14:15:23,51285,51303,51315,51323,1,18,12,8,38
57,BASIC,14:15:23,14:15:41,14:15:53,14:16:01,51323,51341,51353,51361,1,18,12,8,38
58,BASIC,14:16:01,14:16:19,14:16:31,14:16:49,51361,51379,51391,51409,1,18,12,18,48
59,BASIC,14:16:49,14:16:55,14:17:09,14:17:32,51409,51415,51429,51452,1,6,14,23,43
60,BASIC,14:17:32,14:17:39,14:17:51,14:18:09,51452,51459,51471,51489,1,7,12,18,37
61,BASIC,14:18:09,14:18:17,14:18:29,14:18:53,51489,51497,51509,51533,1,8,12,24,44
62,BASIC,14:18:53,14:19:00,14:19:11,14:19:27,51533,51540,51551,51567,1,7,11,16,34
63,BASIC,14:19:27,14:19:33,14:19:45,14:20:03,51567,51573,51585,51603,1,6,12,18,36
64,BASIC,14:20:03,14:20:11,14:20:21,14:20:39,51603,51611,51621,51639,1,8,10,18,36
65,BASIC,14:20:39,14:20:45,14:21:00,14:21:13,51639,51645,51660,51673,1,6,15,13,34
66,BASIC,14:21:13,14:21:19,14:21:33,14:21:59,51673,51679,51693,51719,1,6,14,26,46
67,BASIC,14:21:59,14:22:07,14:22:19,14:22:35,51719,51727,51739,51755,1,8,12,16,36
68,BASIC,14:22:35,14:22:45,14:22:56,14:23:11,51755,51765,51776,51791,1,10,11,15,36
70,CORNER,15:08:35,15:08:47,15:09:05,15:09:19,54515,54527,54545,54559,2,12,18,14,44
71,HALF,15:09:19,15:09:23,15:09:39,15:10:15,54559,54563,54579,54615,3,4,16,36,56
72,BASIC,15:10:15,15:10:23,15:10:37,15:10:51,54615,54623,54637,54651,1,8,14,14,36
73,BASIC,15:10:51,15:10:59,15:11:15,15:11:31,54651,54659,54675,54691,1,8,16,16,40
74,BASIC,15:11:31,15:11:39,15:11:53,15:12:07,54691,54699,54713,54727,1,8,14,14,36
75,BASIC,15:12:07,15:12:13,15:12:27,15:12:41,54727,54733,54747,54761,1,6,14,14,34
76,BASIC,15:12:41,15:12:45,15:12:59,15:13:35,54761,54765,54779,54815,1,4,14,36,54
77,BASIC,15:13:35,15:13:41,15:13:55,15:14:38,54815,54821,54835,54878,1,6,14,43,63
78,BASIC,15:14:38,15:14:45,15:14:57,15:15:11,54878,54885,54897,54911,1,7,12,14,33
79,BASIC,15:15:11,15:15:17,15:15:29,15:15:42,54911,54917,54929,54942,1,6,12,13,31
80,BASIC,15:15:42,15:15:47,15:15:59,15:16:12,54942,54947,54959,54972,1,5,12,13,30
81,BASIC,15:16:12,15:16:19,15:16:31,15:16:44,54972,54979,54991,55004,1,7,12,13,32
