id,type_brick,type,start_to_verif,verif_to_dest,dest_to_end,total_time
7,BASIC,1,4,14,14,32
35,HALF,3,6,20,10,36
83,BASIC,1,8,10,12,30
105,HALF,3,18,18,14,50
29,BASIC,1,6,18,20,44
74,BASIC,1,8,14,14,36
16,BASIC,1,10,14,40,64
99,BASIC,1,7,15,16,38
136,BASIC,1,17,7,10,34
113,BASIC,1,8,14,16,38
121,END,4,8,12,16,36
98,BASIC,1,6,22,14,42
106,BASIC,1,10,12,14,36
102,BASIC,1,6,18,31,55
122,BASIC,1,6,14,15,35
132,BASIC,1,12,7,12,31
61,BASIC,1,8,12,24,44
81,BASIC,1,7,12,13,32
41,BASIC,1,8,16,18,42
76,BASIC,1,4,14,36,54
73,BASIC,1,8,16,16,40
70,CORNER,2,12,18,14,44
2,HALF,3,4,16,18,38
55,BASIC,1,20,14,8,42
45,BASIC,1,6,18,20,44
46,BASIC,1,28,18,22,68
65,BASIC,1,6,15,13,34
36,CORNER,2,8,14,16,38
37,HALF,3,6,14,24,44
89,END,4,10,14,30,54
57,BASIC,1,18,12,8,38
78,BASIC,1,7,12,14,33
129,BASIC,1,11,8,13,32
23,BASIC,1,8,20,18,46
97,BASIC,1,6,16,18,40
103,HALF,3,5,22,8,35
111,BASIC,1,8,14,14,36
50,BASIC,1,6,20,22,48
118,BASIC,1,10,16,16,42
133,BASIC,1,10,8,19,37
104,CORNER,2,8,14,16,38
1,CORNER,2,6,18,16,40
60,BASIC,1,7,12,18,37
115,BASIC,1,8,16,27,51
63,BASIC,1,6,12,18,36
127,BASIC,1,9,11,11,31
75,BASIC,1,6,14,14,34
30,BASIC,1,8,16,22,46
94,BASIC,1,10,14,16,40
108,BASIC,1,8,14,14,36
9,BASIC,1,8,12,24,44
18,BASIC,1,12,16,40,68
101,BASIC,1,7,17,14,38
117,BASIC,1,8,16,16,40
109,BASIC,1,8,14,14,36
96,BASIC,1,8,16,18,42
58,BASIC,1,18,12,18,48
13,BASIC,1,8,12,26,46
12,BASIC,1,8,12,14,34
47,BASIC,1,6,18,22,46
56,BASIC,1,18,12,8,38
10,BASIC,1,6,14,14,34
119,BASIC,1,8,16,33,57
72,BASIC,1,8,14,14,36
87,BASIC,1,6,10,24,40
68,BASIC,1,10,11,15,36
93,BASIC,1,7,14,16,37
125,BASIC,1,8,12,13,33
25,BASIC,1,6,18,20,44
53,END,4,14,16,8,38
39,BASIC,1,8,16,16,40
17,BASIC,1,10,14,50,74
24,BASIC,1,10,16,18,44
59,BASIC,1,6,14,23,43
107,BASIC,1,6,16,10,32
112,BASIC,1,8,16,14,38
42,BASIC,1,8,18,18,44
90,BASIC,1,12,16,18,46
79,BASIC,1,6,12,13,31
48,BASIC,1,8,18,28,54
38,BASIC,1,4,16,20,40
26,BASIC,1,6,20,18,44
49,BASIC,1,6,18,24,48
131,BASIC,1,11,8,11,30
128,BASIC,1,9,10,13,32
91,BASIC,1,10,14,16,40
110,BASIC,1,8,14,14,36
67,BASIC,1,8,12,16,36
19,BASIC,1,10,8,38,56
120,END,4,7,24,10,41
20,BASIC,1,10,58,7,75
71,HALF,3,4,16,36,56
88,BASIC,1,8,10,46,64
62,BASIC,1,7,11,16,34
14,BASIC,1,8,12,14,34
32,BASIC,1,8,16,28,52
123,BASIC,1,15,12,14,41
