x,y,z,time,stochastic_delay,total_time
74,459,1284,39,0,39
-90,4908,2217,42,0,42
522,3074,26,37,0,37
425,2247,2739,37,0,37
516,3425,1590,35,0,35
564,240,2749,42,0,42
472,4770,813,41,0,41
466,1638,1813,35,0,35
375,2165,835,33,0,33
-75,888,13,40,0,40
-85,3866,2688,40,0,40
-59,2830,2026,35,0,35
352,1065,2529,39,120,159
325,4070,124,39,0,39
3,4096,1708,38,0,38
27,2959,933,34,0,34
28,-81,46,43,0,43
574,962,727,37,0,37
-64,4851,159,42,0,42
-99,1648,1245,35,0,35
547,4316,2563,40,0,40
-96,3812,926,37,0,37
134,2173,24,36,0,36
-3,7,1927,42,0,42
541,915,1809,38,0,38
550,3490,2467,38,0,38
591,316,254,41,0,41
587,2489,1802,33,0,33
564,4722,1670,41,0,41
470,-91,1050,42,0,42
-81,1361,556,37,0,37
-60,1921,2147,36,0,36
-73,2473,1478,33,0,33
-24,4491,1067,40,0,40
595,2925,1241,33,0,33
120,523,2334,40,0,40
586,913,43,39,0,39
167,3453,436,36,0,36
573,322,1596,40,0,40
548,3937,1088,37,0,37
-10,399,515,40,0,40
514,1564,406,36,0,36
-9,2479,640,34,0,34
-74,3110,2724,38,0,38
504,4717,178,41,0,41
-77,2348,2580,37,0,37
325,1060,1248,37,0,37
548,2620,412,34,0,34
-33,3088,1569,34,0,34
3,4322,594,39,0,39
494,4721,2226,41,0,41
337,3774,2053,37,0,37
406,1564,1093,34,0,34
-81,149,2641,43,0,43
432,2963,2238,35,0,35
-46,4652,1724,41,0,41
323,1650,2465,37,0,37
-72,3487,2260,37,0,37
-23,2665,164,36,0,36
273,2035,1504,33,0,33
142,1131,2027,37,0,37
595,3580,614,36,0,36
38,-79,1396,42,0,42
537,506,975,39,0,39
514,4054,1545,38,0,38
318,80,613,41,0,41
94,568,1820,39,0,39
546,2050,2302,35,0,35
596,4215,482,39,0,39
419,2908,1753,34,0,34
208,4249,2172,39,0,39
153,4900,2708,43,0,43
147,1320,12,38,0,38
579,-85,2100,42,0,42
273,3335,1092,35,0,35
400,3038,517,35,0,35
-98,2774,2524,37,0,37
205,2269,1926,34,0,34
448,3637,23,38,0,38
331,4364,1755,39,0,39
490,4837,1289,41,0,41
427,2700,844,33,0,33
-40,1855,732,35,0,35
-55,847,778,38,0,38
413,2871,2715,37,0,37
577,2082,59,36,0,36
127,2410,1101,32,0,32
70,4919,886,42,0,42
-42,3525,1363,36,0,36
