id,type_brick,type,rotation,x,y,z,layer,pallet,dist,start_to_verif,verif_to_dest,dest_to_end,total_time,total_time_calc,dist_linear
1,CORNER,2,90,220,95,0,1,1,2731,6,17,18,41,42.43943461243176,2680.8440834931075
2,HALF,3,90,220,252,0,1,1,2596,3,17,16,36,41.85037764423061,2544.0330186536494
4,BASIC,1,90,220,690,0,1,2,2350,6,14,17,37,40.77698494661961,2176.8095920406085
6,BASIC,1,90,220,1190,0,1,4,1804,7,14,14,35,38.39457676411717,1796.8027159373953
9,BASIC,1,90,220,1940,0,1,7,1454,8,13,24,45,36.86739203174381,1378.7675656179326
10,BASIC,1,90,220,2190,0,1,8,1409,8,14,12,34,36.67103970901009,1307.0960178961604
11,BASIC,1,90,220,2440,0,1,9,1408,8,12,14,34,36.66667632406045,1281.0152223919902
12,BASIC,1,90,220,2690,0,1,10,1450,6,13,13,32,36.84993849194525,1303.2651303552934
13,BASIC,1,90,220,2940,0,1,11,1532,10,10,27,47,37.20773605781559,1371.4955340794952
14,BASIC,1,90,220,3190,0,1,12,1648,8,12,14,34,37.71388871197362,1479.3579688500008
19,BASIC,1,90,220,4440,0,1,17,2538,10,10,36,56,41.5973013171516,2366.6431923718455
21,END,4,0,565,220,0,1,1,2626,6,20,20,46,41.98127919271975,2557.2690511559395
23,BASIC,1,0,1065,220,0,1,20,2576,8,21,18,47,41.763109945237844,2618.133877401994
24,BASIC,1,0,1315,220,0,1,21,2642,9,17,18,44,42.05109335191396,2683.2116949655688
25,BASIC,1,0,1565,220,0,1,22,2729,5,20,19,44,42.430707842532485,2769.4087816716406
26,BASIC,1,0,1815,220,0,1,23,2836,5,21,18,44,42.89759003214377,2874.8260816960737
27,BASIC,1,0,2065,220,0,1,24,2960,8,18,18,44,43.4386497658989,2997.436404663158
28,BASIC,1,0,2315,220,0,1,25,3100,10,15,21,46,44.049523658848244,3135.2232775354296
29,BASIC,1,0,2565,220,0,1,26,3252,6,19,21,46,44.71275817119325,3286.2782901026503
30,BASIC,1,0,2815,220,0,1,27,3417,8,14,24,46,45.43271668788355,3448.858506810623
32,BASIC,1,0,3315,220,0,1,29,3773,8,17,27,52,46.98608172995474,3802.5813600763363
33,BASIC,1,0,3565,220,0,1,30,3963,8,17,24,49,47.81512487038599,3991.193430541797
35,HALF,3,180,4002,220,0,1,2,4439,6,21,9,36,49.89209610641377,4335.827948616043
36,CORNER,2,180,95,220,250,2,2,2642,8,14,16,38,42.05109335191396,2477.2817764638726
37,HALF,3,0,252,220,250,2,3,2525,4,14,25,43,41.54057731280629,2456.5023916129207
38,BASIC,1,180,440,220,250,2,32,2386,6,15,21,42,40.93406680480659,2444.68811916776
39,BASIC,1,180,690,220,250,2,33,2393,9,14,16,39,40.964610499454054,2451.326171687481
40,BASIC,1,180,940,220,250,2,34,2426,8,16,20,44,41.10860220279211,2483.243846262384
41,BASIC,1,180,1190,220,250,2,35,2483,7,18,16,41,41.357315144921486,2539.488137400921
42,BASIC,1,180,1440,220,250,2,36,2564,10,18,16,44,41.71074932584219,2618.49193239162
43,BASIC,1,180,1690,220,250,2,37,2666,8,22,22,52,42.15581459070528,2718.271509617831
44,BASIC,1,180,1940,220,250,2,38,2786,6,18,22,46,42.67942078466186,2836.635330810078
45,BASIC,1,180,2190,220,250,2,39,2923,6,19,18,43,43.27720452276229,2971.363323459452
47,BASIC,1,180,2690,220,250,2,41,3238,8,16,22,46,44.65167078189832,3281.6154558387857
48,BASIC,1,180,2940,220,250,2,42,3412,8,17,28,53,45.410899763135355,3453.4765092584603
49,BASIC,1,180,3190,220,250,2,43,3595,6,18,23,47,46.209399208919145,3634.418798102387
50,BASIC,1,180,3440,220,250,2,44,3786,5,21,20,46,47.04280573430003,3823.153148907326
51,BASIC,1,180,3690,220,250,2,45,3983,8,22,17,47,47.902392569378755,4018.581839405538
53,END,4,90,220,565,250,2,3,2232,16,15,7,38,40.26210552256231,2152.1210467815235
